GEO Dataset,Control SRR list 1,Control SRR list 2,H3K4me3 GEO,H3K4me3 SRR list,H3K27ac GEO,H3K27ac SRR list,H3K4me1 GEO,H3K4me1 SRR list,H3K27me3 GEO,H3K27me3 SRR list,H3K9me3 GEO,H3K9me3 SRR list,H3K36me3 GEO,H3K36me3 SRR list,Age,Age notes,Sex,"Cell line, primary cell, organoid, or tissue",Cell type class,Cell type,Cancer state,Disease (if any),Treatment (if any),Platform,SE or PE,biological replicate,technical replicate,biological or technical replicate,Study,Notes
GSE37377,SRR488590,,GSM916966,SRR488574,,,,,,,GSM916965,SRR488573,,,,,,cell line,Cardiovascular,HAEC,,,control,Illumina Genome Analyzer IIx,SE,,,1,HDAC inhibition study,
GSE37377,SRR488591,,GSM916968,SRR488576,,,,,,,GSM916969,SRR488577,,,,,,cell line,Cardiovascular,HAEC,,,control,Illumina Genome Analyzer IIx,SE,,,2,HDAC inhibition study,
GSE37377,SRR488592,,GSM916975,SRR488583,,,,,,,GSM916974,SRR488582,,,,,,cell line,Cardiovascular,HAEC,,,TSA,Illumina Genome Analyzer IIx,SE,,,1,HDAC inhibition study,
GSE37377,SRR488592,,GSM916977,SRR488585,,,,,,,GSM916978,SRR488586,,,,,,cell line,Cardiovascular,HAEC,,,TSA,Illumina Genome Analyzer IIx,SE,,,2,HDAC inhibition study,
GSE37377,SRR488592,,GSM916980,SRR488588,,,,,,,GSM916981,SRR488586,,,,,,cell line,Cardiovascular,HAEC,,,TSA,Illumina Genome Analyzer IIx,SE,,,3,HDAC inhibition study,
GSE39089,SRR518266,,GSM955983,SRR518270,,,GSM955981,SRR518268,,,,,,,,,,cell line,Cardiovascular,HUVEC,,,normoxia,Illumina Genome Analyzer,SE,,,,hypoxia study,
GSE39089,SRR518267,,GSM955984,SRR518271,,,GSM955982,SRR518269,,,,,,,,,,cell line,Cardiovascular,HUVEC,,,hypoxia,Illumina Genome Analyzer,SE,,,,hypoxia study,
GSE40050,SRR537080,,GSM984397,SRR537076,,,,,,,,,,,,,,cell line,Prostate,C4-2,,,control,Illumina Genome Analyzer IIx,SE,,,,DHT study,
GSE40050,SRR537080,,GSM984398,SRR537077,,,,,,,,,,,,,,cell line,Prostate,C4-2,,,DHT 4h,Illumina Genome Analyzer IIx,SE,,,,DHT study,
GSE40050,SRR537081,,GSM984399,SRR537078,,,,,,,,,,,,,,cell line,Prostate,LNCAP,,,control,Illumina Genome Analyzer IIx,SE,,,,DHT study,
