File accession	File format	Output type	Assay term name	Dataset accession	Annotation type	Software used	Encyclopedia Version	Biosample term id	Biosample term name	Biosample type	Life stage	Age	Age units	Organism	Targets	Dataset date released	Project	Lab	md5sum	dbxrefs	File download URL	Assembly	Controlled by	File Status	Derived from	S3 URL	Azure URL	Size	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF656UND	bigWig	signal p-value	ChIP-seq	ENCSR442GYT	imputation	Avocado	current, ENCODE v5	UBERON:0001159	sigmoid colon	tissue				Homo sapiens	H3K36me3-human	2020-02-21	ENCODE	Bill Noble, UW	76ba7a37c5c5d4e7a3ba6ab292e9fe90		https://www.encodeproject.org/files/ENCFF656UND/@@download/ENCFF656UND.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/24/22829e87-f97a-4b60-bd25-6ae99f187f87/ENCFF656UND.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/24/22829e87-f97a-4b60-bd25-6ae99f187f87/ENCFF656UND.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	620315587			
ENCFF912FQD	bigWig	signal p-value	ChIP-seq	ENCSR142ZMU	imputation	Avocado	current, ENCODE v5	CL:0002306	epithelial cell of proximal tubule	primary cell				Homo sapiens	H3K9ac-human	2020-02-21	ENCODE	Bill Noble, UW	758917bc17e7795c20b47e1259751236		https://www.encodeproject.org/files/ENCFF912FQD/@@download/ENCFF912FQD.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/24/c32929e1-17f5-47d1-87ee-af021f4dfec0/ENCFF912FQD.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/24/c32929e1-17f5-47d1-87ee-af021f4dfec0/ENCFF912FQD.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	632229812			
ENCFF799WNL	bigWig	signal p-value	ChIP-seq	ENCSR312UXN	imputation	Avocado	current, ENCODE v5	EFO:0002793	HL-60	cell line				Homo sapiens	H3K4me1-human	2020-02-21	ENCODE	Bill Noble, UW	3ccfacf8fd45bb732ce2d3c5a712c25a		https://www.encodeproject.org/files/ENCFF799WNL/@@download/ENCFF799WNL.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/24/5e0a663f-e482-4f0e-ac09-42bf1dbe9f4c/ENCFF799WNL.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/24/5e0a663f-e482-4f0e-ac09-42bf1dbe9f4c/ENCFF799WNL.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	620659068			
ENCFF044TOK	bigWig	signal p-value	ChIP-seq	ENCSR834HLQ	imputation	Avocado	current, ENCODE v5	EFO:0002784	GM12878	cell line				Homo sapiens	H3K4me1-human	2020-02-21	ENCODE	Bill Noble, UW	51d7245e05ff8f48737d2c891697f47e		https://www.encodeproject.org/files/ENCFF044TOK/@@download/ENCFF044TOK.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/28/fbce32c6-9099-411d-8e50-c0401434542f/ENCFF044TOK.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/28/fbce32c6-9099-411d-8e50-c0401434542f/ENCFF044TOK.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	637506906			
ENCFF018KYC	bigWig	signal p-value	ChIP-seq	ENCSR873KXD	imputation	Avocado	current, ENCODE v5	EFO:0002793	HL-60	cell line				Homo sapiens	H3K9me3-human	2020-02-21	ENCODE	Bill Noble, UW	49c272da1a1074872b0826536b0e9e3a		https://www.encodeproject.org/files/ENCFF018KYC/@@download/ENCFF018KYC.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/24/7168040a-0c09-485d-8b33-dbd7b431b4cf/ENCFF018KYC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/24/7168040a-0c09-485d-8b33-dbd7b431b4cf/ENCFF018KYC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	621702932			
ENCFF783DEL	bigWig	signal p-value	ChIP-seq	ENCSR792FVH	imputation	Avocado	current, ENCODE v5	EFO:0005694	KMS-11	cell line				Homo sapiens	H3K36me3-human	2020-02-21	ENCODE	Bill Noble, UW	8b9df7e9540a9f396062c726af72435a		https://www.encodeproject.org/files/ENCFF783DEL/@@download/ENCFF783DEL.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/15/5a3b2578-823a-4f5a-980d-f1e18d62a881/ENCFF783DEL.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/15/5a3b2578-823a-4f5a-980d-f1e18d62a881/ENCFF783DEL.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	628049680			
ENCFF544JCF	bigWig	signal p-value	ChIP-seq	ENCSR163UNB	imputation	Avocado	current, ENCODE v5	EFO:0002785	GM12891	cell line				Homo sapiens	H3K36me3-human	2020-02-21	ENCODE	Bill Noble, UW	302e08b2ec9183ca03ae104aaba71e37		https://www.encodeproject.org/files/ENCFF544JCF/@@download/ENCFF544JCF.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/29/483a14b4-cb90-4f60-be08-1df3753b64e8/ENCFF544JCF.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/29/483a14b4-cb90-4f60-be08-1df3753b64e8/ENCFF544JCF.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	616437851			
ENCFF987NRA	bigWig	signal p-value	ChIP-seq	ENCSR711PRK	imputation	Avocado	current, ENCODE v5	EFO:0002059	HT1080	cell line				Homo sapiens	H3K9me3-human	2020-02-21	ENCODE	Bill Noble, UW	8e38d8b1dffba307098614a345dc1c39		https://www.encodeproject.org/files/ENCFF987NRA/@@download/ENCFF987NRA.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/26/a47afdfa-10d5-4c71-9021-f129e47f9fe7/ENCFF987NRA.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/26/a47afdfa-10d5-4c71-9021-f129e47f9fe7/ENCFF987NRA.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	636417038			
ENCFF977FMS	bigWig	signal p-value	ChIP-seq	ENCSR753IDY	imputation	Avocado	current, ENCODE v5	CL:0002553	fibroblast of lung	primary cell				Homo sapiens	H3K27me3-human	2020-02-21	ENCODE	Bill Noble, UW	e2f7beb53f319a818cd8dda84cd9c649		https://www.encodeproject.org/files/ENCFF977FMS/@@download/ENCFF977FMS.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/25/9f9b5621-b3c8-4406-924d-165c47dfac14/ENCFF977FMS.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/25/9f9b5621-b3c8-4406-924d-165c47dfac14/ENCFF977FMS.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	632952899			
ENCFF409UIZ	bigWig	signal p-value	ChIP-seq	ENCSR192ZKB	imputation	Avocado	current, ENCODE v5	CL:0002553	fibroblast of lung	primary cell				Homo sapiens	H3K4me3-human	2020-02-21	ENCODE	Bill Noble, UW	48baa0fc53179a96924ecebecafae9f1		https://www.encodeproject.org/files/ENCFF409UIZ/@@download/ENCFF409UIZ.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/25/9b0cb056-aa0f-42f5-8813-472bad672725/ENCFF409UIZ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/25/9b0cb056-aa0f-42f5-8813-472bad672725/ENCFF409UIZ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	639129010			
