2022-09-29 09:20:50.188976	https://www.encodeproject.org/cart-report/?type=Experiment&cart=%2Fcarts%2F7234d35d-e231-47b1-9f1b-d801b9e4c7df%2F&limit=all
ID	Accession	Assay name	Assay title	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR262JRZ/	ENCSR262JRZ	ChIP-seq	Histone ChIP-seq	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens with Alzheimer's disease; and without disease, middle frontal area 46 tissue female adult (90 or above years)	middle frontal area 46	GEO:GSE209395		Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF026FVE/,/files/ENCFF291ZIM/,/files/ENCFF471CTY/,/files/ENCFF559SPP/,/files/ENCFF013WJK/,/files/ENCFF364EAR/,/files/ENCFF204FKA/,/files/ENCFF229OMC/,/files/ENCFF259ISK/,/files/ENCFF392EUT/,/files/ENCFF585EAK/,/files/ENCFF243NRG/,/files/ENCFF837QQZ/,/files/ENCFF286YPC/,/files/ENCFF635JPY/,/files/ENCFF711IDT/,/files/ENCFF022ECX/,/files/ENCFF737SEH/,/files/ENCFF532JIV/,/files/ENCFF127ZSC/,/files/ENCFF084DPM/,/files/ENCFF149FND/,/files/ENCFF954XVK/,/files/ENCFF052VZJ/,/files/ENCFF576QYG/,/files/ENCFF984DOS/,/files/ENCFF254EXW/,/files/ENCFF787DVH/,/files/ENCFF159FFY/,/files/ENCFF293AXT/,/files/ENCFF058LCY/,/files/ENCFF788FBH/,/files/ENCFF309MNB/,/files/ENCFF522LTQ/,/files/ENCFF682XNE/,/files/ENCFF120TVE/,/files/ENCFF064ONV/,/files/ENCFF864SSE/,/files/ENCFF810ZTP/,/files/ENCFF759CUT/,/files/ENCFF032HHR/,/files/ENCFF036CTS/		ENCBS825MDV,ENCBS112RAT	2,1	1,2	ENCAB101KHB	Homo sapiens	adult	90 or above years												/replicates/ae963890-255e-4f84-84bc-9f917cad11ec/,/replicates/62e12f88-3728-4e7b-8401-1014e44cb15a/,/replicates/f0ff2280-4d29-47ab-b068-d8095675a4c1/,/replicates/da9e0c0a-260b-4b9b-a5b3-4d8b1a97761f/				
/experiments/ENCSR840FCT/	ENCSR840FCT	ChIP-seq	Histone ChIP-seq	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens placenta tissue male embryo	placenta	GEO:GSE209328		Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF956RIM/,/files/ENCFF534MEH/,/files/ENCFF168YQH/,/files/ENCFF598CJK/,/files/ENCFF447PXX/,/files/ENCFF025WRH/,/files/ENCFF772PQX/,/files/ENCFF501RLS/,/files/ENCFF165IMN/,/files/ENCFF065PUF/,/files/ENCFF089FZH/,/files/ENCFF392PFP/,/files/ENCFF641KHZ/,/files/ENCFF670HSS/		ENCBS834VHU	1	2,1	ENCAB101KHB	Homo sapiens	embryonic													/replicates/f63710c8-2c56-46e2-a2bd-27732b873661/,/replicates/bbe24f7b-5cbf-480d-aafe-cdaa426d9a10/				
/experiments/ENCSR621ECQ/	ENCSR621ECQ	ChIP-seq	Histone ChIP-seq	/targets/H3K9me3-human/	H3K9me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens heart right ventricle tissue male adult (55 years)	heart right ventricle	GEO:GSE209259		Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF627JVQ/,/files/ENCFF699ZTM/,/files/ENCFF737IKK/,/files/ENCFF958GNI/,/files/ENCFF775RUH/,/files/ENCFF494WYV/,/files/ENCFF326CCE/,/files/ENCFF252TKW/,/files/ENCFF856HFY/,/files/ENCFF783WEE/,/files/ENCFF555HAT/,/files/ENCFF642PNR/,/files/ENCFF275AEI/,/files/ENCFF280WHW/		ENCBS377GPP	1	1,2	ENCAB003LHL	Homo sapiens	adult	55 years												/replicates/92a1f8fe-01b2-41f6-ad0d-b99cf7d4f28b/,/replicates/a38cfe0e-8f72-4399-b0ad-0e154c75adbb/				
/experiments/ENCSR814QIV/	ENCSR814QIV	ChIP-seq	Histone ChIP-seq	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens with Alzheimer's disease; and without disease, middle frontal area 46 tissue female adult (90 or above years)	middle frontal area 46	GEO:GSE209226		Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF253EMG/,/files/ENCFF888ZHL/,/files/ENCFF201PSR/,/files/ENCFF875MIN/,/files/ENCFF026EAX/,/files/ENCFF617PTA/,/files/ENCFF434QXO/,/files/ENCFF068PTJ/,/files/ENCFF141QPL/,/files/ENCFF605JPD/,/files/ENCFF368UFL/,/files/ENCFF740DSN/,/files/ENCFF220HFN/,/files/ENCFF945SKW/,/files/ENCFF084XXZ/,/files/ENCFF047BRO/,/files/ENCFF487NEI/,/files/ENCFF391BWP/,/files/ENCFF240SRO/,/files/ENCFF985PGJ/,/files/ENCFF129XIH/,/files/ENCFF528DAZ/,/files/ENCFF752NCM/,/files/ENCFF198ICD/,/files/ENCFF742RLB/,/files/ENCFF965MWV/,/files/ENCFF354AZL/,/files/ENCFF886IIC/,/files/ENCFF667KOR/,/files/ENCFF652TPM/,/files/ENCFF075YUL/,/files/ENCFF990FKU/,/files/ENCFF490ICR/,/files/ENCFF382NOS/,/files/ENCFF052IQU/,/files/ENCFF673MXX/,/files/ENCFF810WHX/,/files/ENCFF559DLR/,/files/ENCFF053LPE/,/files/ENCFF868MMO/,/files/ENCFF448UVY/,/files/ENCFF294FYL/		ENCBS965OCN,ENCBS454HCI	1,2	1,2	ENCAB101KHB	Homo sapiens	adult	90 or above years												/replicates/639f8de9-feb6-4706-bea9-310083c03644/,/replicates/ea32aba1-754f-4ca4-baae-a630a945e54a/,/replicates/fc6f92ef-53e9-407c-a667-99e80939f408/,/replicates/5aaefbb8-b0af-4f33-b5dd-7a7bc4d90bd3/				
/experiments/ENCSR532BDE/	ENCSR532BDE	ChIP-seq	Histone ChIP-seq	/targets/H3K4me1-human/	H3K4me1	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens psoas muscle tissue female adult (41 years)	psoas muscle	GEO:GSE208925		Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF019NIE/,/files/ENCFF590COC/,/files/ENCFF161PLH/,/files/ENCFF795DRZ/,/files/ENCFF537UHD/,/files/ENCFF320OWW/,/files/ENCFF851XRP/,/files/ENCFF221JWK/,/files/ENCFF390GTJ/,/files/ENCFF119INL/,/files/ENCFF087XPB/,/files/ENCFF398QNW/,/files/ENCFF277SFE/,/files/ENCFF983WBS/		ENCBS168AIQ	1	1,2	ENCAB845ARK	Homo sapiens	adult	41 years												/replicates/c276863d-dc4a-488e-8494-b8a1f3b72fdf/,/replicates/ccf6b325-d177-45b9-9b5e-a2a6380eb063/				
/experiments/ENCSR578VID/	ENCSR578VID	ChIP-seq	Histone ChIP-seq	/targets/H3K9me3-human/	H3K9me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens psoas muscle tissue female adult (41 years)	psoas muscle	GEO:GSE209131		Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF333TIL/,/files/ENCFF011PPB/,/files/ENCFF592TRD/,/files/ENCFF776TXF/,/files/ENCFF250ODF/,/files/ENCFF831BJJ/,/files/ENCFF850EUH/,/files/ENCFF020YJT/,/files/ENCFF761TOH/,/files/ENCFF057NMW/,/files/ENCFF295YHH/,/files/ENCFF223MQN/,/files/ENCFF890PBH/,/files/ENCFF504XWC/		ENCBS168AIQ	1	1,2	ENCAB003LHL	Homo sapiens	adult	41 years												/replicates/28db6e71-b532-4618-a674-7fff93fd0974/,/replicates/1c8cca91-c3c4-45a3-9642-4400ae15ebbf/				
/experiments/ENCSR589DBF/	ENCSR589DBF	ChIP-seq	Histone ChIP-seq	/targets/H3K4me3-human/	H3K4me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens spleen tissue female adult (51 years)	spleen	GEO:GSE167702		Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF356GJD/,/files/ENCFF762CST/,/files/ENCFF410IXV/,/files/ENCFF483QLZ/,/files/ENCFF678IBM/,/files/ENCFF843ZMU/,/files/ENCFF919OKV/,/files/ENCFF105OHU/,/files/ENCFF400KMG/,/files/ENCFF357MVO/,/files/ENCFF331VFG/,/files/ENCFF849THD/,/files/ENCFF438XQP/,/files/ENCFF107JVE/,/files/ENCFF622UWG/,/files/ENCFF863SRM/,/files/ENCFF463XQE/,/files/ENCFF395NSI/,/files/ENCFF447NAD/,/files/ENCFF883AHB/,/files/ENCFF042FWZ/,/files/ENCFF261INP/,/files/ENCFF553JXX/,/files/ENCFF542GTV/,/files/ENCFF354WFS/,/files/ENCFF256OTK/,/files/ENCFF612DHP/,/files/ENCFF579CQK/,/files/ENCFF556ZMD/,/files/ENCFF760HFW/,/files/ENCFF616NBS/,/files/ENCFF536HBV/,/files/ENCFF536QHE/,/files/ENCFF643KYO/,/files/ENCFF139MVP/,/files/ENCFF307SOO/,/files/ENCFF182RQV/,/files/ENCFF826KBQ/,/files/ENCFF032EMP/,/files/ENCFF650FOW/,/files/ENCFF418CUH/,/files/ENCFF658PXJ/,/files/ENCFF826XDU/,/files/ENCFF462VQE/,/files/ENCFF068NGY/,/files/ENCFF762URT/,/files/ENCFF175KPP/,/files/ENCFF639EVQ/,/files/ENCFF426ZGZ/,/files/ENCFF069PVD/,/files/ENCFF416XAQ/,/files/ENCFF137YUF/,/files/ENCFF774LJL/,/files/ENCFF537QXK/,/files/ENCFF137PHD/,/files/ENCFF624ZYL/,/files/ENCFF760CLW/,/files/ENCFF292SNQ/,/files/ENCFF958FGL/,/files/ENCFF926FYT/,/files/ENCFF414MQF/,/files/ENCFF780NBB/,/files/ENCFF177THG/,/files/ENCFF689MUN/,/files/ENCFF794APB/,/files/ENCFF285MDJ/	/reference-epigenomes/ENCSR592QDE/	ENCBS363GBQ,ENCBS892ESJ	1,2	1,2	ENCAB140BWE	Homo sapiens	adult	51 years												/replicates/b763daab-63c7-47e7-b5fd-79199c365311/,/replicates/3f0d9792-c22a-4ef5-b7f6-0c0e68ee5678/,/replicates/49c34959-d70e-4260-b903-30ad685059bb/,/replicates/f69fe863-4d8b-4b65-8b69-5794c1935ff5/				
/experiments/ENCSR701GIE/	ENCSR701GIE	ChIP-seq	Histone ChIP-seq	/targets/H3K4me1-human/	H3K4me1	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens esophagus muscularis mucosa tissue female adult (51 years)	esophagus muscularis mucosa	GEO:GSE136509		Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF786MQD/,/files/ENCFF442QIP/,/files/ENCFF639RGJ/,/files/ENCFF033PWZ/,/files/ENCFF202BTW/,/files/ENCFF327LTJ/,/files/ENCFF467OAB/,/files/ENCFF203YKA/,/files/ENCFF403NXQ/,/files/ENCFF516VBB/,/files/ENCFF405KLK/,/files/ENCFF767QDM/,/files/ENCFF395YWB/,/files/ENCFF877IZN/,/files/ENCFF407OZM/,/files/ENCFF845BST/,/files/ENCFF264LLW/,/files/ENCFF561NIV/,/files/ENCFF238RPE/,/files/ENCFF278OGS/,/files/ENCFF497RLX/,/files/ENCFF902LGK/,/files/ENCFF187YDY/,/files/ENCFF102SUA/,/files/ENCFF550TZJ/,/files/ENCFF473ELV/	/reference-epigenomes/ENCSR527XKV/	ENCBS677JLV	1	1,2	ENCAB845ARK	Homo sapiens	adult	51 years												/replicates/afcd48ba-d4d9-4f78-b509-53a64eca92f0/,/replicates/9b16e7aa-f779-42cb-acce-68dfabfe7dd9/				
/experiments/ENCSR449FRQ/	ENCSR449FRQ	ChIP-seq	Histone ChIP-seq	/targets/H3K4me1-human/	H3K4me1	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens heart left ventricle tissue female adult (51 years)	heart left ventricle	GEO:GSE142973		Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF181AEZ/,/files/ENCFF106OKI/,/files/ENCFF304GHU/,/files/ENCFF849OCJ/,/files/ENCFF235QMK/,/files/ENCFF951GQX/,/files/ENCFF607CIC/,/files/ENCFF211SVF/,/files/ENCFF649GON/,/files/ENCFF101PZT/,/files/ENCFF142JXZ/,/files/ENCFF720SXQ/,/files/ENCFF645MWC/,/files/ENCFF361SPI/,/files/ENCFF527RIH/,/files/ENCFF944YFS/,/files/ENCFF710KBJ/,/files/ENCFF490BHQ/,/files/ENCFF027ZJT/,/files/ENCFF058OIV/,/files/ENCFF109HTK/,/files/ENCFF083UVO/,/files/ENCFF365LTV/,/files/ENCFF119XBF/,/files/ENCFF571KTC/,/files/ENCFF862BWS/	/reference-epigenomes/ENCSR025UEI/	ENCBS684IAD	1	1,2	ENCAB845ARK	Homo sapiens	adult	51 years												/replicates/eb20a407-e331-4821-9ae2-69b5fdd072a8/,/replicates/2e79b824-bc15-4c8d-8257-2c7c5409025e/				
/experiments/ENCSR731QXN/	ENCSR731QXN	ChIP-seq	Histone ChIP-seq	/targets/H3K4me3-human/	H3K4me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens esophagus squamous epithelium tissue male adult (37 years)	esophagus squamous epithelium	GEO:GSE139730		Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF238DOW/,/files/ENCFF421MWY/,/files/ENCFF442NKL/,/files/ENCFF813YVW/,/files/ENCFF497ZIE/,/files/ENCFF039FZO/,/files/ENCFF153FZG/,/files/ENCFF760URU/,/files/ENCFF257ZIA/,/files/ENCFF997ZWF/,/files/ENCFF339KON/,/files/ENCFF787TMF/,/files/ENCFF077FWQ/,/files/ENCFF029TAC/,/files/ENCFF047FPL/,/files/ENCFF064YPP/,/files/ENCFF504FTN/,/files/ENCFF856PVN/,/files/ENCFF258FUI/,/files/ENCFF346FRE/,/files/ENCFF559ZNQ/,/files/ENCFF376RAN/,/files/ENCFF467SHW/,/files/ENCFF764HZI/,/files/ENCFF929UJH/	/reference-epigenomes/ENCSR284DRW/	ENCBS608MZC	1	1,2	ENCAB140BWE	Homo sapiens	adult	37 years												/replicates/f9cd80ed-0a89-4aa2-b9fc-7339f1507cd6/,/replicates/58a05e80-ab6e-4a96-81da-cdc7a3f8c28f/				
