2023-04-07 10:34:05.790351	https://www.encodeproject.org/cart-report/?type=Annotation&cart=%2Fcarts%2Fd04961b5-96d7-4347-977d-8716838e1636%2F&limit=all
ID	Accession	Targets	Target	Biosample term name	Description	Lab	Project	Status	Organism	Life stage	Age	Age units	Software used
/annotations/ENCSR442GYT/	ENCSR442GYT	/targets/H3K36me3-human/	H3K36me3	sigmoid colon	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K36me3_signal_p-value in sigmoid colon female adult (53 years) (J019) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR142ZMU/	ENCSR142ZMU	/targets/H3K9ac-human/	H3K9ac	epithelial cell of proximal tubule	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9ac_signal_p-value in epithelial cell of proximal tubule (J014) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR312UXN/	ENCSR312UXN	/targets/H3K4me1-human/	H3K4me1	HL-60	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me1_signal_p-value in HL-60 (J020) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR834HLQ/	ENCSR834HLQ	/targets/H3K4me1-human/	H3K4me1	GM12878	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me1_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR873KXD/	ENCSR873KXD	/targets/H3K9me3-human/	H3K9me3	HL-60	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9me3_signal_p-value in HL-60 (J020) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR792FVH/	ENCSR792FVH	/targets/H3K36me3-human/	H3K36me3	KMS-11	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K36me3_signal_p-value in KMS-11 (J000) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR163UNB/	ENCSR163UNB	/targets/H3K36me3-human/	H3K36me3	GM12891	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K36me3_signal_p-value in GM12891 (J050) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR711PRK/	ENCSR711PRK	/targets/H3K9me3-human/	H3K9me3	HT1080	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9me3_signal_p-value in HT1080 nuclear fraction (J035) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR753IDY/	ENCSR753IDY	/targets/H3K27me3-human/	H3K27me3	fibroblast of lung	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27me3_signal_p-value in fibroblast of lung male adult (45 years) (J023) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR192ZKB/	ENCSR192ZKB	/targets/H3K4me3-human/	H3K4me3	fibroblast of lung	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me3_signal_p-value in fibroblast of lung male adult (45 years) (J023) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR944MYI/	ENCSR944MYI	/targets/H3K36me3-human/	H3K36me3	dorsolateral prefrontal cortex	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K36me3_signal_p-value in dorsolateral prefrontal cortex (previously identified as middle frontal area 46) female adult (75 years) (J033) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR734MFH/	ENCSR734MFH	/targets/H3K27ac-human/	H3K27ac	HT1080	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27ac_signal_p-value in HT1080 nuclear fraction (J035) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR590XMB/	ENCSR590XMB	/targets/H3K4me3-human/	H3K4me3	NCI-H929	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me3_signal_p-value in NCI-H929 (J055) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR019JBO/	ENCSR019JBO	/targets/H3K4me3-human/	H3K4me3	HT1080	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me3_signal_p-value in HT1080 nuclear fraction (J035) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
