2022-10-15 14:26:36.087348	https://www.encodeproject.org/cart-report/?type=Experiment&cart=%2Fcarts%2F30169f7a-2f41-4042-a438-e447476b2dd4%2F&limit=all
ID	Accession	Assay name	Assay title	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR100CMZ/	ENCSR100CMZ	Mint-ChIP-seq	Mint-ChIP-seq	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens stimulated activated naive CD4-positive, alpha-beta T cell male adult (43 years) treated with 10 ng/mL Interleukin-2, anti-CD3 and anti-CD28 coated beads	stimulated activated naive CD4-positive, alpha-beta T cell	GEO:GSE176583	H3K27ac Mint-ChIP-seq of activated CD4-positive, alpha-beta T cell male adult (43 years) treated with 10 ng	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF319MOH/,/files/ENCFF092QQQ/,/files/ENCFF346SUV/,/files/ENCFF212OTF/,/files/ENCFF302VQK/,/files/ENCFF203TJR/,/files/ENCFF310EQO/,/files/ENCFF672LSN/,/files/ENCFF505ZWJ/,/files/ENCFF044IMU/,/files/ENCFF488WIV/,/files/ENCFF520JKK/,/files/ENCFF501HUX/,/files/ENCFF430PZJ/,/files/ENCFF653SSO/,/files/ENCFF705OLX/,/files/ENCFF205ASV/,/files/ENCFF357QRL/,/files/ENCFF361MIY/,/files/ENCFF269XPB/,/files/ENCFF437UIU/,/files/ENCFF697RBC/,/files/ENCFF673PXJ/,/files/ENCFF002YIM/,/files/ENCFF453OES/,/files/ENCFF453EAS/,/files/ENCFF626NMN/,/files/ENCFF556MWS/,/files/ENCFF663BBV/,/files/ENCFF633YLN/,/files/ENCFF361DOJ/,/files/ENCFF306ABM/,/files/ENCFF629MYV/,/files/ENCFF512IDO/,/files/ENCFF978LHF/,/files/ENCFF878OVH/,/files/ENCFF132MCA/,/files/ENCFF709GVR/,/files/ENCFF326JDP/,/files/ENCFF218VWJ/,/files/ENCFF732TIF/,/files/ENCFF940SQT/,/files/ENCFF032BQF/,/files/ENCFF456ZIX/,/files/ENCFF360XCN/,/files/ENCFF204MDI/,/files/ENCFF346MOY/,/files/ENCFF399IVJ/,/files/ENCFF790HUA/,/files/ENCFF024DVR/,/files/ENCFF589WBJ/,/files/ENCFF037RWL/,/files/ENCFF913NTN/,/files/ENCFF373PNL/,/files/ENCFF464MIB/,/files/ENCFF189WSC/,/files/ENCFF633QFX/,/files/ENCFF348QMJ/,/files/ENCFF741KEY/,/files/ENCFF085UBZ/,/files/ENCFF707IWC/,/files/ENCFF711VWT/,/files/ENCFF882RMR/,/files/ENCFF776UGH/,/files/ENCFF266MDL/,/files/ENCFF293ZPE/,/files/ENCFF057WBT/,/files/ENCFF692UGR/,/files/ENCFF790PVU/,/files/ENCFF854NVA/		ENCBS377CVF	1	1,2	ENCAB101KHB	Homo sapiens	adult	43 years	Interleukin-2,anti-CD3 and anti-CD28 coated beads	UniProtKB:P60568	10	ng/mL								/replicates/eca13f2c-a02a-44bc-b5fa-f949bffd2928/,/replicates/ce46bbd9-922d-48b9-a08e-a1271b9ededa/				
/experiments/ENCSR372LPU/	ENCSR372LPU	Mint-ChIP-seq	Mint-ChIP-seq	/targets/H3K27me3-human/	H3K27me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens naive thymus-derived CD8-positive, alpha-beta T cell male adult (30 years)	naive thymus-derived CD8-positive, alpha-beta T cell	GEO:GSE177354	H3K27me3 Mint-ChIP-seq of CD8-positive naive resting alpha-beta T cell male adult (30 years)	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF984LQB/,/files/ENCFF562UIL/,/files/ENCFF287RXH/,/files/ENCFF270BKY/,/files/ENCFF430ATZ/,/files/ENCFF396YRT/,/files/ENCFF995ARP/,/files/ENCFF399LUO/,/files/ENCFF857LAP/,/files/ENCFF901ZEQ/,/files/ENCFF502ZER/,/files/ENCFF523BZX/,/files/ENCFF484FAA/,/files/ENCFF921KKV/,/files/ENCFF451QVM/,/files/ENCFF039PRV/,/files/ENCFF464LEZ/,/files/ENCFF178DZH/,/files/ENCFF981LDD/,/files/ENCFF931LRU/,/files/ENCFF797CMO/,/files/ENCFF600SZT/,/files/ENCFF020LSB/,/files/ENCFF813WTG/,/files/ENCFF178ORK/,/files/ENCFF903WMF/,/files/ENCFF869YIF/,/files/ENCFF273TJY/,/files/ENCFF439GFG/,/files/ENCFF655BIR/,/files/ENCFF049NAZ/,/files/ENCFF056EBG/,/files/ENCFF456ATC/,/files/ENCFF377COT/,/files/ENCFF751RSP/,/files/ENCFF857ETQ/,/files/ENCFF124NXK/,/files/ENCFF532ZOL/,/files/ENCFF421DDU/,/files/ENCFF196NPN/,/files/ENCFF371CEN/,/files/ENCFF247XIX/,/files/ENCFF904URV/,/files/ENCFF302IWL/,/files/ENCFF402SUK/,/files/ENCFF714UPC/,/files/ENCFF985HZS/,/files/ENCFF578EVH/,/files/ENCFF692JYB/,/files/ENCFF353MDV/,/files/ENCFF167OVS/,/files/ENCFF228RUE/,/files/ENCFF458WNU/,/files/ENCFF874WDD/		ENCBS845PJM	1	1,2	ENCAB009VWX	Homo sapiens	adult	30 years												/replicates/c5105373-fb32-4b23-9fe8-71e639e948cc/,/replicates/e55b3487-6374-479b-ae9b-32e60e0c44bd/				
/experiments/ENCSR245KON/	ENCSR245KON	Mint-ChIP-seq	Mint-ChIP-seq	/targets/H3K36me3-human/	H3K36me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens with multiple sclerosis; immature natural killer cell	immature natural killer cell	GEO:GSE176860	H3K36me3 Mint-ChIP-seq on human immature natural killer cell	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF736DIO/,/files/ENCFF266XYQ/,/files/ENCFF454VHU/,/files/ENCFF275GAZ/,/files/ENCFF118ZNB/,/files/ENCFF564FRN/,/files/ENCFF724PLC/,/files/ENCFF875WDC/,/files/ENCFF577TNW/,/files/ENCFF444DGK/,/files/ENCFF129LJQ/,/files/ENCFF221SYF/,/files/ENCFF900RCG/,/files/ENCFF481MHA/,/files/ENCFF355FHT/,/files/ENCFF659EYE/,/files/ENCFF060ZUC/,/files/ENCFF164NYT/,/files/ENCFF313CRS/,/files/ENCFF961JSG/,/files/ENCFF462MGO/,/files/ENCFF572SKH/		ENCBS911UEN	1	1	ENCAB000ADU	Homo sapiens	unknown													/replicates/461cb99e-57bc-41e9-898d-bbce8a309dae/				
/experiments/ENCSR953STZ/	ENCSR953STZ	Mint-ChIP-seq	Mint-ChIP-seq	/targets/H3K9me3-human/	H3K9me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens with multiple sclerosis; CD4-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	GEO:GSE177936		Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF309PWT/,/files/ENCFF825UQU/,/files/ENCFF918APE/,/files/ENCFF240JWV/,/files/ENCFF204KHN/,/files/ENCFF855KCE/,/files/ENCFF517MKK/,/files/ENCFF764CHC/,/files/ENCFF389IPO/,/files/ENCFF773JBY/,/files/ENCFF927IFC/,/files/ENCFF479NMD/,/files/ENCFF334HAW/,/files/ENCFF694BCP/,/files/ENCFF638XWR/,/files/ENCFF363TVB/,/files/ENCFF218AIL/,/files/ENCFF135CJV/,/files/ENCFF702DZO/,/files/ENCFF041XDA/,/files/ENCFF159XFA/,/files/ENCFF878QWF/,/files/ENCFF694HIQ/,/files/ENCFF969IOM/,/files/ENCFF583KCV/,/files/ENCFF151QJT/,/files/ENCFF547TAV/,/files/ENCFF602JKD/,/files/ENCFF028AVI/,/files/ENCFF265ZDC/,/files/ENCFF509ASA/,/files/ENCFF994TTO/,/files/ENCFF049FOP/,/files/ENCFF511ZQW/,/files/ENCFF628RLB/,/files/ENCFF200ERW/,/files/ENCFF003WSC/,/files/ENCFF681JFA/,/files/ENCFF678SEF/,/files/ENCFF207TOS/,/files/ENCFF527MXO/,/files/ENCFF939UQF/,/files/ENCFF239ICP/,/files/ENCFF340JKV/,/files/ENCFF216MES/,/files/ENCFF028SZE/,/files/ENCFF660OYS/,/files/ENCFF217WHS/,/files/ENCFF210HKF/,/files/ENCFF580MZH/,/files/ENCFF951QTE/,/files/ENCFF114WWF/,/files/ENCFF267YSP/,/files/ENCFF499RMF/,/files/ENCFF010GEZ/,/files/ENCFF401YKG/,/files/ENCFF735ZDB/,/files/ENCFF400WWR/,/files/ENCFF404BPS/,/files/ENCFF190KWD/,/files/ENCFF095BDR/,/files/ENCFF689AEQ/,/files/ENCFF419RIB/,/files/ENCFF934HJV/,/files/ENCFF635BEJ/,/files/ENCFF298JZN/,/files/ENCFF705LFO/,/files/ENCFF673ZHE/,/files/ENCFF714HYU/,/files/ENCFF980ANP/		ENCBS702KJW	1	2,1	ENCAB003LHL	Homo sapiens	unknown													/replicates/1f67aa87-9240-47c7-a258-11af721cba6a/,/replicates/629c9c54-e150-4007-8f18-6f0c3f2688ff/				
/experiments/ENCSR077YUA/	ENCSR077YUA	Mint-ChIP-seq	Mint-ChIP-seq	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens B cell male adult (22 years)	B cell	GEO:GSE176944	H3K27ac Mint-ChIP-seq of B cell male adult (22 years)	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF774STQ/,/files/ENCFF817RXT/,/files/ENCFF714IGZ/,/files/ENCFF264WAG/,/files/ENCFF381MFV/,/files/ENCFF137PZU/,/files/ENCFF952BNV/,/files/ENCFF683OWP/,/files/ENCFF269MWE/,/files/ENCFF574KIW/,/files/ENCFF654EHO/,/files/ENCFF941YRN/,/files/ENCFF514IDH/,/files/ENCFF641HUJ/,/files/ENCFF715SWV/,/files/ENCFF854ERF/,/files/ENCFF631GIG/,/files/ENCFF109HDM/,/files/ENCFF200KWN/,/files/ENCFF039JHU/,/files/ENCFF010MPQ/,/files/ENCFF591JVS/,/files/ENCFF981BEB/,/files/ENCFF189ZDW/,/files/ENCFF558MSD/,/files/ENCFF406LZP/,/files/ENCFF203WEZ/,/files/ENCFF299YEP/,/files/ENCFF134ULN/,/files/ENCFF866NSX/,/files/ENCFF239HAD/,/files/ENCFF917GSL/,/files/ENCFF185GKK/,/files/ENCFF521WRV/,/files/ENCFF915FYT/,/files/ENCFF573FQS/,/files/ENCFF057FDT/,/files/ENCFF399OSA/		ENCBS852RUN	1	2,1	ENCAB101KHB	Homo sapiens	adult	22 years												/replicates/77bad917-e52e-4ac1-ab04-badd5ff31af7/,/replicates/3cb1d461-b41e-44b0-af60-29f59dfe1a0c/				
/experiments/ENCSR709ABP/	ENCSR709ABP	ChIP-seq	Histone ChIP-seq	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens foreskin keratinocyte male newborn (2-4 days) treated with 1.2 mM calcium for 2.5 days	foreskin keratinocyte	GEO:GSE175068,SCREEN-GRCh38:foreskin_keratinocyte_male_newborn_2-4_days_treated_with_calcium_donor_ENCDO615NVN	H3K27ac ChIP-seq on primary keratinocytes in day 3 of differentiation	Michael Snyder, Stanford	GGR	released	/files/ENCFF645FQA/,/files/ENCFF426MBY/,/files/ENCFF980VYO/,/files/ENCFF068PYY/,/files/ENCFF605KXF/,/files/ENCFF712WHE/,/files/ENCFF349IBL/,/files/ENCFF024RZN/,/files/ENCFF058XKA/,/files/ENCFF776HMQ/,/files/ENCFF182LGU/,/files/ENCFF054FBF/,/files/ENCFF085FAH/,/files/ENCFF112NOP/,/files/ENCFF687VKQ/,/files/ENCFF785CFS/,/files/ENCFF758WDW/,/files/ENCFF443RRV/,/files/ENCFF421VMQ/,/files/ENCFF491GUK/,/files/ENCFF991BLJ/,/files/ENCFF845QEC/,/files/ENCFF866GAU/,/files/ENCFF392NJM/,/files/ENCFF535PBF/,/files/ENCFF919IRI/,/files/ENCFF428XCF/,/files/ENCFF541XWN/,/files/ENCFF468AZQ/,/files/ENCFF410DUN/,/files/ENCFF344FER/,/files/ENCFF570CGJ/,/files/ENCFF140MRZ/,/files/ENCFF620WXC/,/files/ENCFF896QUO/,/files/ENCFF438QLB/,/files/ENCFF295COH/,/files/ENCFF691STF/,/files/ENCFF224WEK/,/files/ENCFF773AWH/,/files/ENCFF062NRL/,/files/ENCFF034AIT/,/files/ENCFF524BAK/,/files/ENCFF821IFO/,/files/ENCFF749WVA/,/files/ENCFF422AQN/,/files/ENCFF382QAY/,/files/ENCFF856SBL/,/files/ENCFF202BSS/,/files/ENCFF511TIT/,/files/ENCFF881EJT/,/files/ENCFF097HMM/,/files/ENCFF040FRV/,/files/ENCFF106JHG/,/files/ENCFF870GTM/,/files/ENCFF349KLQ/,/files/ENCFF778UII/,/files/ENCFF141WWI/	/treatment-time-series/ENCSR171FYM/	ENCBS079LRU,ENCBS299ONK	1,2	1	ENCAB228OWC	Homo sapiens	newborn	2-4 days	calcium	CHEBI:86158	1.2	mM	2.5	day						/replicates/c37d3899-45a2-494c-83e8-876c146e8f8f/,/replicates/86cd3cd2-d9f9-4c3f-abd8-addcec472b51/				
/experiments/ENCSR812GLE/	ENCSR812GLE	ChIP-seq	Histone ChIP-seq	/targets/H3K27me3-human/	H3K27me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens foreskin keratinocyte male newborn (2-4 days) treated with 1.2 mM calcium for 5.5 days	foreskin keratinocyte	GEO:GSE175214	H3K27me3 ChIP-seq on primary keratinocytes in day 6 of differentiation	Michael Snyder, Stanford	GGR	released	/files/ENCFF013PSL/,/files/ENCFF520FEL/,/files/ENCFF837UQS/,/files/ENCFF555NLW/,/files/ENCFF979NJP/,/files/ENCFF860CKZ/,/files/ENCFF360SSN/,/files/ENCFF044RYF/,/files/ENCFF108CVW/,/files/ENCFF809FJG/,/files/ENCFF462YLW/,/files/ENCFF350MZQ/,/files/ENCFF325ACR/,/files/ENCFF341REI/,/files/ENCFF566EFU/,/files/ENCFF821GKG/,/files/ENCFF049SGY/,/files/ENCFF583WIG/,/files/ENCFF883CCV/,/files/ENCFF941TQA/,/files/ENCFF884YCC/,/files/ENCFF856YUE/,/files/ENCFF817LNH/,/files/ENCFF203GUL/,/files/ENCFF710MGL/,/files/ENCFF874YQZ/,/files/ENCFF729LZJ/,/files/ENCFF086SJC/,/files/ENCFF620JIC/,/files/ENCFF763QSI/,/files/ENCFF787CIR/,/files/ENCFF422LQA/,/files/ENCFF911EYY/,/files/ENCFF705JXU/,/files/ENCFF246XGO/,/files/ENCFF148FTY/,/files/ENCFF348QAW/,/files/ENCFF822LNA/,/files/ENCFF273BAQ/,/files/ENCFF740ZON/,/files/ENCFF422YDD/,/files/ENCFF455ONP/,/files/ENCFF158SII/,/files/ENCFF594DNR/,/files/ENCFF793HWW/,/files/ENCFF104PKQ/,/files/ENCFF423CLJ/,/files/ENCFF949TBF/,/files/ENCFF992FLY/,/files/ENCFF427OFS/,/files/ENCFF607UYL/,/files/ENCFF383XHI/,/files/ENCFF981SHW/,/files/ENCFF937OYU/,/files/ENCFF380XEY/,/files/ENCFF902OOG/,/files/ENCFF085CDD/,/files/ENCFF191TTB/	/treatment-time-series/ENCSR620NNW/	ENCBS135YLX,ENCBS389AUD	2,1	1	ENCAB782COR	Homo sapiens	newborn	2-4 days	calcium	CHEBI:86158	1.2	mM	5.5	day						/replicates/1b9d0d6d-566f-44b5-bf6b-682fd4eb8887/,/replicates/2ae9312b-37bd-4fbd-8295-d83967d4d0c2/				
/experiments/ENCSR234BAD/	ENCSR234BAD	Mint-ChIP-seq	Mint-ChIP-seq	/targets/H3K4me3-human/	H3K4me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens with multiple sclerosis; immature natural killer cell	immature natural killer cell	GEO:GSE176780	H3K4me3 Mint-ChIP-seq on human immature natural killer cell	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF014CWP/,/files/ENCFF297RTO/,/files/ENCFF329LRD/,/files/ENCFF150NAL/,/files/ENCFF342EKY/,/files/ENCFF856DZR/,/files/ENCFF495MGU/,/files/ENCFF166CSL/,/files/ENCFF624BGV/,/files/ENCFF943GFQ/,/files/ENCFF961SGW/,/files/ENCFF956AKY/,/files/ENCFF871UJJ/,/files/ENCFF254QZL/		ENCBS911UEN	1	1	ENCAB140BWE	Homo sapiens	unknown													/replicates/af6a3b22-5835-4e33-b8e7-64de9ebb410e/				
/experiments/ENCSR832UMM/	ENCSR832UMM	Mint-ChIP-seq	Mint-ChIP-seq	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens with multiple sclerosis; CD4-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	GEO:GSE177890	H3K27ac Mint-ChIP-seq on human CD4-positive, alpha-beta memory T cell	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF375SGZ/,/files/ENCFF845DFL/,/files/ENCFF810UWF/,/files/ENCFF342WXA/,/files/ENCFF764ICB/,/files/ENCFF388KFI/,/files/ENCFF546UXL/,/files/ENCFF706WAA/,/files/ENCFF207VEQ/,/files/ENCFF651LXU/,/files/ENCFF277XOH/,/files/ENCFF204NJK/,/files/ENCFF042ZBR/,/files/ENCFF102ATJ/,/files/ENCFF752HES/,/files/ENCFF032TVP/,/files/ENCFF203ZVX/,/files/ENCFF604FFI/,/files/ENCFF667LPN/,/files/ENCFF319JHM/,/files/ENCFF264EBV/,/files/ENCFF691RXW/,/files/ENCFF449NNN/,/files/ENCFF673UVU/,/files/ENCFF374BFP/,/files/ENCFF776XVZ/,/files/ENCFF780UIQ/,/files/ENCFF042HLV/		ENCBS437FZY	1	1,2	ENCAB557LLB	Homo sapiens	unknown													/replicates/e490c40d-623c-4b8c-b21d-d354274f8300/,/replicates/577916a3-90b4-446e-8c80-b78d833c3836/				
/experiments/ENCSR231COZ/	ENCSR231COZ	Mint-ChIP-seq	Mint-ChIP-seq	/targets/H3K36me3-human/	H3K36me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens CD14-positive monocyte male adult (51 years)	CD14-positive monocyte	GEO:GSE209254		Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF893LPR/,/files/ENCFF343QPX/,/files/ENCFF570ZYN/,/files/ENCFF097NBD/,/files/ENCFF988HYC/,/files/ENCFF090CWO/,/files/ENCFF894XBI/,/files/ENCFF695JWO/,/files/ENCFF503WWM/,/files/ENCFF190YNY/,/files/ENCFF569HVF/,/files/ENCFF730BRA/,/files/ENCFF911DKA/,/files/ENCFF162DDT/,/files/ENCFF215QMI/,/files/ENCFF272KBO/,/files/ENCFF253CPS/,/files/ENCFF014FJK/,/files/ENCFF932BAE/,/files/ENCFF738LUH/,/files/ENCFF253FXC/,/files/ENCFF643BXN/		ENCBS409NZS	1	1,2	ENCAB211WTE	Homo sapiens	adult	51 years												/replicates/90354395-5574-4e90-8550-c83d59566ed8/,/replicates/e8d90c30-823b-4a84-a975-6eb1c449f409/				
