,go_term,negative_log_p_value,fold_enrichment
0,atrioventricular bundle cell differentiation (GO:0003167),11.959695804962273,807.4117647058823
1,regionalization (GO:0003002),11.884989222643485,17.70639834881321
2,His-Purkinje system cell differentiation (GO:0060932),11.554716121927058,605.5588235294117
3,bundle of His development (GO:0003166),10.93153262738248,403.70588235294116
4,His-Purkinje system development (GO:0003164),10.680703588675597,346.0336134453782
5,pattern specification process (GO:0007389),10.503010186404707,13.250740120993692
6,negative regulation of cell differentiation (GO:0045596),8.664007285880997,8.957970762269406
7,negative regulation of myoblast differentiation (GO:0045662),8.199066931330709,86.50840336134455
8,cardiac conduction system development (GO:0003161),7.619969777692648,63.74303405572755
9,muscle structure development (GO:0061061),7.340941725316594,9.7083578922551
10,negative regulation of developmental process (GO:0051093),7.235278611874495,6.5607673188451985
11,anterior/posterior pattern specification (GO:0009952),7.208092818671601,16.666756610901242
12,ventricular cardiac muscle tissue development (GO:0003229),6.9122514003033,44.040641711229945
13,anterior/posterior axis specification (GO:0009948),6.777375065461908,41.05483549351944
14,negative regulation of nucleobase-containing compound metabolic process (GO:0045934),6.773644658305072,4.652180462453868
15,embryonic morphogenesis (GO:0048598),6.714124575890568,8.197073753359211
16,embryo development (GO:0009790),6.617911415683748,5.71821363106149
17,neuron differentiation (GO:0030182),6.5927393106872545,5.685998342999172
18,negative regulation of cellular metabolic process (GO:0031324),6.573126181496781,3.744621700270214
19,negative regulation of detection of glucose (GO:2000971),6.407365380505419,1211.1176470588234
20,regulation of detection of glucose (GO:2000970),6.407365380505419,1211.1176470588234
21,response to leptomycin B (GO:1901344),6.407365380505419,1211.1176470588234
22,negative regulation of transcription from RNA polymerase II promoter by glucose (GO:0061987),6.407365380505419,1211.1176470588234
23,negative regulation of transcription by glucose (GO:0061986),6.407365380505419,1211.1176470588234
24,negative regulation of fusion of virus membrane with host plasma membrane (GO:1903914),6.407365380505419,1211.1176470588234
25,regulation of fusion of virus membrane with host plasma membrane (GO:1903913),6.407365380505419,1211.1176470588234
26,cellular response to leptomycin B (GO:0072750),6.407365380505419,1211.1176470588234
27,generation of neurons (GO:0048699),6.314210289998979,5.340024898848428
28,regulation of myoblast differentiation (GO:0045661),6.2651604918285795,31.457601222307108
29,cardiac muscle cell differentiation (GO:0055007),6.0977100853295685,28.83613445378151
30,cell fate specification (GO:0001708),6.074937669113696,28.496885813148793
31,metanephros development (GO:0001656),6.074937669113696,28.496885813148793
32,muscle tissue development (GO:0060537),6.065034667112894,11.14525442078672
33,regulation of nucleobase-containing compound metabolic process (GO:0019219),6.0441481376064745,2.680122651470227
34,ureteric peristalsis (GO:0072105),6.002288565405546,605.5588235294117
35,follicle-stimulating hormone secretion (GO:0046884),6.002288565405546,605.5588235294117
36,ureter smooth muscle contraction (GO:0014849),6.002288565405546,605.5588235294117
37,hepatoblast differentiation (GO:0061017),6.002288565405546,605.5588235294117
38,regulation of cellular biosynthetic process (GO:0031326),5.981711394719996,2.6572547107580236
39,nucleosome assembly (GO:0006334),5.901896531980083,26.045540796963945
40,regulation of biosynthetic process (GO:0009889),5.874504323592493,2.618318237696231
41,axis specification (GO:0009798),5.840842714674887,25.231617647058822
42,neurogenesis (GO:0022008),5.74956981839178,4.694254445964432
43,regulation of transcription by RNA polymerase II (GO:0006357),5.748815507456944,3.253193986727461
44,specification of animal organ position (GO:0010159),5.714994748132643,403.70588235294116
45,positive regulation of transcription from RNA polymerase II promoter by glucose (GO:0000432),5.714994748132643,403.70588235294116
46,regulation of transcription from RNA polymerase II promoter by glucose (GO:0000430),5.714994748132643,403.70588235294116
47,cardiac jelly development (GO:1905072),5.714994748132643,403.70588235294116
48,mammary placode formation (GO:0060596),5.714994748132643,403.70588235294116
49,Purkinje myocyte development (GO:0003165),5.714994748132643,403.70588235294116
50,segmentation (GO:0035282),5.686995755846782,23.290723981900452
51,negative regulation of DNA-templated transcription (GO:0045892),5.640146458350511,4.577164199012939
