,go_term,negative_log_p_value,fold_enrichment
0,positive regulation of histone H3-K27 trimethylation (GO:1902466),6.755186779383543,1286.8125
1,brown fat cell proliferation (GO:0070342),6.755186779383543,1286.8125
2,thyroid hormone catabolic process (GO:0042404),6.755186779383543,1286.8125
3,retinal cone cell apoptotic process (GO:0097474),6.755186779383543,1286.8125
4,regulation of histone H3-K27 trimethylation (GO:1902464),6.467674648976813,857.875
5,fat cell proliferation (GO:0070341),6.244701035627431,643.40625
6,positive regulation of histone H3-K9 trimethylation (GO:1900114),6.244701035627431,643.40625
7,multicellular organismal process (GO:0032501),6.230040596184539,2.737482905333536
8,retinal cell apoptotic process (GO:1990009),5.908568662565658,428.9375
9,positive regulation of histone H3-K27 methylation (GO:0061087),5.908568662565658,428.9375
10,negative regulation of chromatin binding (GO:0035562),5.552403482910257,285.9583333333333
11,DNA replication-dependent chromatin assembly (GO:0006335),5.457263216298692,257.3625
12,regulation of histone H3-K27 methylation (GO:0061085),5.457263216298692,257.3625
13,positive regulation of histone H3-K9 methylation (GO:0051574),5.370421748271181,233.96590909090912
14,positive regulation of DNA methylation-dependent heterochromatin formation (GO:0090309),5.290548945530438,214.46875
15,hormone catabolic process (GO:0042447),5.290548945530438,214.46875
16,retinal cone cell development (GO:0046549),5.290548945530438,214.46875
17,phenol-containing compound catabolic process (GO:0019336),5.216610874124487,197.97115384615384
18,retinal cone cell differentiation (GO:0042670),5.216610874124487,197.97115384615384
19,regulation of histone H3-K9 trimethylation (GO:1900112),5.216610874124487,197.97115384615384
20,positive regulation of heterochromatin organization (GO:0120263),5.083419270469123,171.57500000000002
21,positive regulation of heterochromatin formation (GO:0031453),5.083419270469123,171.57500000000002
22,positive regulation of chromatin organization (GO:1905269),4.965976007353953,151.38970588235293
23,negative regulation of anoikis (GO:2000811),4.860955247617762,135.45394736842107
24,regulation of DNA methylation-dependent heterochromatin formation (GO:0090308),4.860955247617762,135.45394736842107
25,tripartite regional subdivision (GO:0007351),4.721702908012356,116.98295454545456
26,"anterior/posterior axis specification, embryo (GO:0008595)",4.721702908012356,116.98295454545456
27,thyroid hormone metabolic process (GO:0042403),4.721702908012356,116.98295454545456
28,regulation of chromatin binding (GO:0035561),4.679313152861888,111.89673913043477
29,regulation of anoikis (GO:2000209),4.56203967019468,98.98557692307692
30,blastoderm segmentation (GO:0007350),4.525841868690944,95.31944444444444
31,regulation of histone H3-K9 methylation (GO:0051570),4.525841868690944,95.31944444444444
32,regulation of heterochromatin organization (GO:0120261),4.45718867013228,88.74568965517241
33,regulation of heterochromatin formation (GO:0031445),4.45718867013228,88.74568965517241
34,detection of chemical stimulus involved in sensory perception of smell (GO:0050911),4.425922134490701,11.619074492099323
35,camera-type eye photoreceptor cell differentiation (GO:0060219),4.424568677580625,85.78750000000001
36,positive regulation of multicellular organism growth (GO:0040018),4.33270482310404,77.98863636363636
37,cellular modified amino acid catabolic process (GO:0042219),4.33270482310404,77.98863636363636
38,sensory perception of smell (GO:0007608),4.3132560828004305,10.951595744680851
39,eye photoreceptor cell development (GO:0042462),4.248656863313758,71.48958333333333
40,detection of chemical stimulus involved in sensory perception (GO:0050907),4.237954629338764,10.526073619631902
41,detection of chemical stimulus (GO:0009593),4.099736164703299,9.7856463878327
42,regulation of chromatin organization (GO:1902275),4.054270578363895,58.49147727272728
43,embryonic axis specification (GO:0000578),4.032461439303829,57.19166666666666
44,hormone biosynthetic process (GO:0042446),4.032461439303829,57.19166666666666
45,sensory perception of chemical stimulus (GO:0007606),4.012012935245687,9.341651542649728
46,detection of stimulus involved in sensory perception (GO:0050906),3.9814555023443003,9.191517857142857
47,eye photoreceptor cell differentiation (GO:0001754),3.930125979233362,51.4725
48,photoreceptor cell development (GO:0042461),3.9108776361717217,50.463235294117645
49,chromatin organization (GO:0006325),3.8992214060982695,8.798717948717949
50,positive regulation of histone methylation (GO:0031062),3.891999179700655,49.49278846153846
51,spermatogenesis (GO:0007283),3.87686110142547,8.694679054054054
52,male gamete generation (GO:0048232),3.8175534366230544,8.424304418985269
53,anterior/posterior axis specification (GO:0009948),3.7691345835821837,43.62076271186441
54,retina morphogenesis in camera-type eye (GO:0060042),3.6899403592905893,40.212890625
55,photoreceptor cell differentiation (GO:0046530),3.6899403592905893,40.212890625
56,regulation of multicellular organism growth (GO:0040014),3.6308998358155313,37.84742647058823
57,detection of stimulus (GO:0051606),3.6012025044331373,7.503279883381924
58,neural retina development (GO:0003407),3.5225581396831522,33.86348684210527
59,embryonic pattern specification (GO:0009880),3.4972549723148214,32.99519230769231
60,organic hydroxy compound catabolic process (GO:1901616),3.472592916581467,32.1703125
61,regulation of histone methylation (GO:0031060),3.4250692570445387,30.638392857142858
62,gamete generation (GO:0007276),3.4209858717880803,6.808531746031745
63,phenol-containing compound metabolic process (GO:0018958),3.347119048539931,28.281593406593405
64,nucleosome assembly (GO:0006334),3.3259519802063817,27.673387096774192
65,neuron apoptotic process (GO:0051402),3.315539432993911,27.378989361702125
66,axis specification (GO:0009798),3.2950444576046416,26.80859375
67,integrin-mediated signaling pathway (GO:0007229),3.2456303278337852,25.481435643564357
68,telomere organization (GO:0032200),3.2265512943720873,24.986650485436893
69,segmentation (GO:0035282),3.217151363182668,24.74639423076923
70,neuron death (GO:0070997),3.2078421348277746,24.510714285714286
71,positive regulation of chromosome organization (GO:2001252),3.198621905915225,24.27948113207547
72,developmental process (GO:0032502),3.19050793466734,2.2667121719217893
73,positive regulation of histone modification (GO:0031058),3.1894890203774535,24.052570093457945
74,multicellular organismal reproductive process (GO:0048609),3.162944380093629,5.916379310344827
75,sexual reproduction (GO:0019953),3.127640843641147,5.802987598647125
76,epigenetic regulation of gene expression (GO:0040029),3.0943610534229755,21.810381355932204
77,multicellular organism reproduction (GO:0032504),3.0850394090841613,5.6687775330396475
78,anatomical structure morphogenesis (GO:0009653),3.0514378502322463,3.4514416629414395
79,nucleosome organization (GO:0034728),3.0383887443039646,20.589000000000002
80,developmental process involved in reproduction (GO:0003006),3.008718103183928,5.43532206969377
81,camera-type eye morphogenesis (GO:0048593),3.000320418013518,19.797115384615385
82,sensory perception (GO:0007600),2.9157881451281056,5.162738214643932
83,animal organ morphogenesis (GO:0009887),2.904984165429431,5.13185443668993
84,primary metabolic process (GO:0044238),2.8625789974800093,0.0
85,retina development in camera-type eye (GO:0060041),2.8113552727881364,16.28876582278481
86,eye morphogenesis (GO:0048592),2.79919367698074,16.08515625
87,negative regulation of binding (GO:0051100),2.7812394323848495,15.789110429447854
88,positive regulation of developmental growth (GO:0048639),2.7753296505121257,15.692835365853659
89,positive regulation of angiogenesis (GO:0045766),2.7578189117154706,15.410928143712576
90,positive regulation of vasculature development (GO:1904018),2.7578189117154706,15.410928143712576
91,cellular modified amino acid metabolic process (GO:0006575),2.7293374887013524,14.96293604651163
92,regulation of histone modification (GO:0031056),2.680145270810946,14.2189226519337
93,spermatid development (GO:0007286),2.628348259451821,13.474476439790575
94,Ras protein signal transduction (GO:0007265),2.613351490771228,13.26610824742268
95,spermatid differentiation (GO:0048515),2.5937227212551814,12.99810606060606
96,protein-DNA complex assembly (GO:0065004),2.5840608603344344,12.868125
97,G protein-coupled receptor signaling pathway (GO:0007186),2.55213979642351,4.208708094848733
98,positive regulation of epithelial cell proliferation (GO:0050679),2.5417800241243897,12.313995215311005
99,hormone metabolic process (GO:0042445),2.5417800241243897,12.313995215311005
100,anterior/posterior pattern specification (GO:0009952),2.5013372600632104,11.805619266055047
101,positive regulation of transcription by RNA polymerase II (GO:0045944),2.501271889682196,4.088363780778396
102,skeletal system morphogenesis (GO:0048705),2.458377056839837,11.287828947368421
103,protein-DNA complex subunit organization (GO:0071824),2.437622817052107,11.045600858369099
104,positive regulation of developmental process (GO:0051094),2.3939530893254615,3.8441000746825993
105,regulation of chromosome organization (GO:0033044),2.3627639616983998,10.212797619047619
