,go_term,negative_log_p_value,fold_enrichment
0,cellular process (GO:0009987),38.3382280981009,1.2011492472149066
1,cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742),28.588967719852693,4.550261149055846
2,homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156),27.71297800352843,5.62445635045698
3,biological_process (GO:0008150),23.907584155918244,1.0976881124462379
4,cell-cell adhesion (GO:0098609),19.858912170301917,2.789164086687306
5,multicellular organism development (GO:0007275),18.531566375498475,1.5128578256944076
6,system development (GO:0048731),16.079347235598537,1.5078101344732389
7,developmental process (GO:0032502),15.613378495741957,1.359694060032465
8,anatomical structure development (GO:0048856),14.879824844723895,1.3743331757035486
9,response to organic substance (GO:0010033),12.419896349446665,1.5522454291383099
10,detection of chemical stimulus involved in sensory perception of smell (GO:0050911),12.030624291850662,0.0
11,multicellular organismal process (GO:0032501),11.655136212913439,1.2693753657680154
12,metabolic process (GO:0008152),11.487517572987091,1.2315274965204714
13,nervous system development (GO:0007399),11.2249415369752,1.5550521069324876
14,ERAD pathway (GO:0036503),11.207486472308352,4.51578947368421
15,response to organonitrogen compound (GO:0010243),11.110079997092171,1.9114452798663324
16,amide metabolic process (GO:0043603),10.9150445535289,1.963386727688787
17,organonitrogen compound metabolic process (GO:1901564),10.863143276176972,1.3380116959064328
18,negative regulation of activated T cell proliferation (GO:0046007),10.557999503748466,12.902255639097744
19,organic substance metabolic process (GO:0071704),10.174009923006773,1.2289845226216003
20,sensory perception of smell (GO:0007608),10.01229778577163,0.0770283918752104
21,cellular response to stimulus (GO:0051716),9.6371302011739,1.2494057724957555
22,cell adhesion (GO:0007155),9.578144122288283,1.8138735961242018
23,primary metabolic process (GO:0044238),9.500079151985386,1.2329978171234537
24,response to stimulus (GO:0050896),9.299466927096068,1.2009726099653926
25,response to nitrogen compound (GO:1901698),9.203718601782134,1.7497076023391813
26,"retrograde protein transport, ER to cytosol (GO:0030970)",9.196023700466375,10.035087719298247
27,endoplasmic reticulum to cytosol transport (GO:1903513),9.196023700466375,10.035087719298247
28,nitrogen compound metabolic process (GO:0006807),9.081139369070165,1.242439431913116
29,muscle cell differentiation (GO:0042692),8.940291600919926,2.5530965222242887
30,response to endogenous stimulus (GO:0009719),8.553190584285838,1.6130105561565147
31,detection of chemical stimulus involved in sensory perception (GO:0050907),8.42417926660648,0.1471540358023368
32,N-acetylneuraminate metabolic process (GO:0006054),8.331125360471985,12.042105263157893
33,anatomical structure morphogenesis (GO:0009653),8.173877612238252,1.452152041559907
34,oxoacid metabolic process (GO:0043436),8.123047750823815,1.7997314062799772
35,organic acid metabolic process (GO:0006082),8.021618170495406,1.784552948636652
36,actin filament organization (GO:0007015),8.001620132643376,2.44270462633452
37,atrial septum development (GO:0003283),7.942612591653661,7.853546910755148
38,carboxylic acid metabolic process (GO:0019752),7.900812995830554,1.804060713581707
39,response to oxygen-containing compound (GO:1901700),7.586285447590655,1.534322292217029
40,supramolecular fiber organization (GO:0097435),7.542935446591451,1.9235309571766355
41,mesenchymal to epithelial transition (GO:0060231),7.382934018031699,9.633684210526315
42,response to chemical (GO:0042221),7.341007472973187,1.3093400167084377
43,metanephros morphogenesis (GO:0003338),7.340811292618914,6.947368421052631
44,delamination (GO:0060232),7.294150283967052,15.482706766917293
45,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157),7.281441621602692,4.683040935672515
46,leukotriene production involved in inflammatory response (GO:0002540),7.175750500988215,36.126315789473686
47,arachidonic acid metabolite production involved in inflammatory response (GO:0002538),7.175750500988215,36.126315789473686
48,positive regulation of glutamine transport (GO:2000487),7.175750500988215,36.126315789473686
49,"membrane protein proteolysis involved in retrograde protein transport, ER to cytosol (GO:1904211)",7.175750500988215,36.126315789473686
50,cell communication (GO:0007154),7.175592572957691,1.2426573846246172
51,protein exit from endoplasmic reticulum (GO:0032527),7.158828205787204,6.690058479532164
52,muscle cell fate commitment (GO:0042693),7.117263171257709,9.031578947368422
53,cellular response to endogenous stimulus (GO:0071495),7.113344707112908,1.6049147258389875
54,protein metabolic process (GO:0019538),7.038343129604261,1.3134990802824422
55,response to organophosphorus (GO:0046683),6.791970889770699,3.0105263157894737
56,organic substance catabolic process (GO:1901575),6.713707208409005,1.4804056011588604
57,sensory perception of chemical stimulus (GO:0007606),6.653995979993705,0.2651472718493481
58,sphingomyelin metabolic process (GO:0006684),6.641643099570566,8.028070175438597
59,homeostatic process (GO:0042592),6.568477549338455,1.5157894736842104
60,embryo development (GO:0009790),6.562490801001827,1.6033397942448189
61,glutamine transport (GO:0006868),6.460160760215135,12.042105263157895
62,muscle structure development (GO:0061061),6.444105485536807,1.8866741321388578
63,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339),6.436478525933002,4.712128146453089
