,go_term,negative_log_p_value,fold_enrichment
0,"fatty acid elongation, unsaturated fatty acid (GO:0019368)",8.984832593388328,115.36134453781513
1,"fatty acid elongation, polyunsaturated fatty acid (GO:0034626)",8.984832593388328,115.36134453781513
2,"fatty acid elongation, monounsaturated fatty acid (GO:0034625)",8.984832593388328,115.36134453781513
3,"fatty acid elongation, saturated fatty acid (GO:0019367)",8.698737020987597,100.94117647058825
4,alpha-linolenic acid metabolic process (GO:0036109),8.227451265726598,80.75294117647059
5,response to organophosphorus (GO:0046683),8.049600175619208,12.235294117647058
6,negative regulation of canonical NF-kappaB signal transduction (GO:0043124),7.924810874790927,21.630252100840337
7,very long-chain fatty acid biosynthetic process (GO:0042761),7.682161323513954,62.117647058823515
8,response to purine-containing compound (GO:0014074),7.616055198551317,10.912559618441971
9,fatty acid elongation (GO:0030497),7.529595590182604,57.680672268907564
10,response to nutrient (GO:0007584),7.322929272233192,10.094117647058823
11,long-chain fatty-acyl-CoA biosynthetic process (GO:0035338),6.9067123778657455,42.5015479876161
12,linoleic acid metabolic process (GO:0043651),6.704434918359276,38.45378151260505
13,long-chain fatty-acyl-CoA metabolic process (GO:0035336),6.354089876415225,32.30117647058824
14,fatty-acyl-CoA biosynthetic process (GO:0046949),6.200249512686139,29.90849673202614
15,regulation of osteoblast proliferation (GO:0033688),6.127722840978846,28.840336134453782
16,negative regulation of intracellular signal transduction (GO:1902532),6.104162446669001,4.428863318636413
17,multicellular organism development (GO:0007275),6.082190906576111,1.9353000534219744
18,peptidyl-aspartic acid autophosphorylation (GO:1990938),6.000832297140732,403.764705882353
19,positive regulation of serotonin secretion (GO:0014064),6.000832297140732,403.764705882353
20,positive regulation of sphingolipid mediated signaling pathway (GO:1902070),6.000832297140732,403.764705882353
21,peptidyl-aspartic acid phosphorylation (GO:0018217),6.000832297140732,403.764705882353
22,regulation of thalamus size (GO:0090067),6.000832297140732,403.764705882353
23,spermine transmembrane transport (GO:1903710),6.000832297140732,403.764705882353
24,very long-chain fatty acid metabolic process (GO:0000038),5.80142332887918,24.470588235294116
25,purine nucleoside bisphosphate metabolic process (GO:0034032),5.76780096556117,10.265204386839482
26,ribonucleoside bisphosphate metabolic process (GO:0033875),5.76780096556117,10.265204386839482
27,nucleoside bisphosphate metabolic process (GO:0033865),5.76780096556117,10.265204386839482
28,response to ATP (GO:0033198),5.742378435981077,23.750865051903112
29,response to stress (GO:0006950),5.603143365134574,2.0076045627376424
30,chemical synaptic transmission (GO:0007268),5.58683045601624,4.80672268907563
31,anterograde trans-synaptic signaling (GO:0098916),5.58683045601624,4.80672268907563
32,mitotic cell cycle checkpoint signaling (GO:0007093),5.495665691432571,9.31764705882353
33,unsaturated fatty acid biosynthetic process (GO:0006636),5.471993420668639,20.705882352941178
34,fatty-acyl-CoA metabolic process (GO:0035337),5.422278278185104,20.188235294117646
35,trans-synaptic signaling (GO:0099537),5.409314494848717,4.609186140209508
36,acyl-CoA biosynthetic process (GO:0071616),5.326633207018965,19.226890756302524
37,thioester biosynthetic process (GO:0035384),5.326633207018965,19.226890756302524
38,regulation of sphingolipid mediated signaling pathway (GO:1902068),5.308899976853136,201.8823529411765
39,Ral protein signal transduction (GO:0032484),5.308899976853136,201.8823529411765
40,thermosensory behavior (GO:0040040),5.308899976853136,201.8823529411765
41,negative regulation of osteoclast proliferation (GO:0090291),5.308899976853136,201.8823529411765
42,"negative regulation of synaptic transmission, dopaminergic (GO:0032227)",5.308899976853136,201.8823529411765
43,nucleologenesis (GO:0017126),5.308899976853136,201.8823529411765
44,negative regulation of bone trabecula formation (GO:1900155),5.308899976853136,201.8823529411765
45,regulation of bone trabecula formation (GO:1900154),5.308899976853136,201.8823529411765
46,negative regulation of cerebellar granule cell precursor proliferation (GO:0021941),5.308899976853136,201.8823529411765
47,synaptic signaling (GO:0099536),5.140937701604954,4.322962589746819
48,fatty acid derivative biosynthetic process (GO:1901570),4.948212996617194,15.833910034602077
49,purine nucleoside bisphosphate biosynthetic process (GO:0034033),4.910567265169739,15.529411764705879
50,ribonucleoside bisphosphate biosynthetic process (GO:0034030),4.910567265169739,15.529411764705879
51,nucleoside bisphosphate biosynthetic process (GO:0033866),4.910567265169739,15.529411764705879
52,spermine biosynthetic process (GO:0006597),4.904649275866584,134.58823529411765
53,sequestering of BMP from receptor via BMP binding (GO:0038098),4.904649275866584,134.58823529411765
54,spermine transport (GO:0000296),4.904649275866584,134.58823529411765
55,atrial cardiac muscle cell development (GO:0055014),4.904649275866584,134.58823529411765
56,atrial cardiac muscle cell differentiation (GO:0055011),4.904649275866584,134.58823529411765
57,positive regulation of peptidyl-tyrosine autophosphorylation (GO:1900086),4.904649275866584,134.58823529411765
58,regulation of autophagosome size (GO:0016243),4.904649275866584,134.58823529411765
59,sulfur compound metabolic process (GO:0006790),4.8972908844198075,5.159932343544447
60,cell cycle checkpoint signaling (GO:0000075),4.836002202349257,7.341176470588236
61,wound healing (GO:0042060),4.799589314596805,5.015710632078919
62,negative regulation of mitotic cell cycle phase transition (GO:1901991),4.786797504362148,7.210084033613446
63,mitotic cytokinesis checkpoint signaling (GO:0044878),4.618181157168251,100.94117647058825
64,regulation of ubiquitin-specific protease activity (GO:2000152),4.618181157168251,100.94117647058825
65,peptidyl-aspartic acid modification (GO:0018197),4.618181157168251,100.94117647058825
66,negative regulation of bone mineralization involved in bone maturation (GO:1900158),4.618181157168251,100.94117647058825
67,regulation of peptidyl-tyrosine autophosphorylation (GO:1900084),4.618181157168251,100.94117647058825
68,regulation of receptor internalization (GO:0002090),4.510497863456439,12.61764705882353
69,negative regulation of G2/M transition of mitotic cell cycle (GO:0010972),4.451616440667056,12.235294117647058
70,purine ribonucleotide biosynthetic process (GO:0009152),4.4113858263181625,6.276135324596161
71,ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway (GO:0090611),4.396251106229967,80.75294117647059
72,positive regulation of hepatic stellate cell activation (GO:2000491),4.396251106229967,80.75294117647059
73,"general adaptation syndrome, behavioral process (GO:0051867)",4.396251106229967,80.75294117647059
74,response to vitamin K (GO:0032571),4.396251106229967,80.75294117647059
75,synaptic signaling via neuropeptide (GO:0099538),4.396251106229967,80.75294117647059
76,determination of dorsal identity (GO:0048263),4.396251106229967,80.75294117647059
77,negative regulation of lysosomal protein catabolic process (GO:1905166),4.396251106229967,80.75294117647059
78,sperm ejaculation (GO:0042713),4.396251106229967,80.75294117647059
79,hormone-mediated apoptotic signaling pathway (GO:0008628),4.396251106229967,80.75294117647059
80,negative regulation of protein catabolic process in the vacuole (GO:1904351),4.396251106229967,80.75294117647059
81,epoxide metabolic process (GO:0097176),4.396251106229967,80.75294117647059
82,ureteric bud formation (GO:0060676),4.396251106229967,80.75294117647059
83,negative regulation of cell cycle G2/M phase transition (GO:1902750),4.394599838369245,11.875432525951556
84,response to osmotic stress (GO:0006970),4.312335602560412,11.373653686826843
85,system development (GO:0048731),4.273406251279358,1.821837364387379
86,somatostatin signaling pathway (GO:0038170),4.215142596400555,67.29411764705883
87,somatostatin receptor signaling pathway (GO:0038169),4.215142596400555,67.29411764705883
88,general adaptation syndrome (GO:0051866),4.215142596400555,67.29411764705883
89,regulation of osteoclast proliferation (GO:0090289),4.215142596400555,67.29411764705883
90,abscission (GO:0009838),4.215142596400555,67.29411764705883
91,negative regulation of monocyte chemotaxis (GO:0090027),4.215142596400555,67.29411764705883
92,determination of dorsal/ventral asymmetry (GO:0048262),4.215142596400555,67.29411764705883
93,spermine metabolic process (GO:0008215),4.215142596400555,67.29411764705883
94,purine ribonucleotide metabolic process (GO:0009150),4.203808539534091,4.205882352941177
95,ribonucleotide biosynthetic process (GO:0009260),4.198786900339149,5.795665634674922
96,fatty acid derivative metabolic process (GO:1901568),4.183134837558949,10.625386996904025
97,positive regulation of exocytosis (GO:0045921),4.133978390740113,10.352941176470589
98,ribose phosphate biosynthetic process (GO:0046390),4.1115184628502845,5.607843137254902
99,negative regulation of mitotic cell cycle (GO:0045930),4.099315464020014,5.582000542152345
100,cell-cell signaling (GO:0007267),4.076614283204983,2.6025349366265846
101,positive regulation of behavioral fear response (GO:2000987),4.062204509908222,57.680672268907564
102,aggressive behavior (GO:0002118),4.062204509908222,57.680672268907564
103,regulation of hepatic stellate cell activation (GO:2000489),4.062204509908222,57.680672268907564
104,cellular response to cGMP (GO:0071321),4.062204509908222,57.680672268907564
105,negative regulation of cytokinesis (GO:0032466),4.062204509908222,57.680672268907564
106,extracellular exosome biogenesis (GO:0097734),4.062204509908222,57.680672268907564
107,regulation of bone mineralization involved in bone maturation (GO:1900157),4.062204509908222,57.680672268907564
108,regulation of synaptic vesicle priming (GO:0010807),4.062204509908222,57.680672268907564
109,mesenchymal to epithelial transition involved in metanephros morphogenesis (GO:0003337),4.062204509908222,57.680672268907564
110,epithelial cell proliferation involved in liver morphogenesis (GO:0072575),4.062204509908222,57.680672268907564
111,hepatocyte proliferation (GO:0072574),4.062204509908222,57.680672268907564
112,gene expression (GO:0010467),4.040161721113254,0.16208940420809032
113,striated muscle cell differentiation (GO:0051146),4.027424041657164,5.431812186758111
114,ribonucleotide metabolic process (GO:0009259),4.019629678190164,3.977977397855694
115,developmental process (GO:0032502),3.9789888808344647,1.5477998831524247
116,epithelial to mesenchymal transition (GO:0001837),3.9719933198456907,9.500346020761246
117,mitotic DNA damage checkpoint signaling (GO:0044773),3.9719933198456907,9.500346020761246
118,negative regulation of cell cycle phase transition (GO:1901988),3.957719051546578,5.289493963524275
119,response to vitamin (GO:0033273),3.950028705722191,9.389876880984952
120,purine nucleotide biosynthetic process (GO:0006164),3.946305991497834,5.266496163682865
121,protein deubiquitination involved in ubiquitin-dependent protein catabolic process (GO:0071947),3.929885257101012,50.47058823529412
122,positive regulation of T-helper 1 cell cytokine production (GO:2000556),3.929885257101012,50.47058823529412
123,regulation of T-helper 1 cell cytokine production (GO:2000554),3.929885257101012,50.47058823529412
124,regulation of serotonin secretion (GO:0014062),3.929885257101012,50.47058823529412
125,"regulation of synaptic transmission, dopaminergic (GO:0032225)",3.929885257101012,50.47058823529412
126,regulation of chaperone-mediated autophagy (GO:1904714),3.929885257101012,50.47058823529412
127,"fructose 1,6-bisphosphate metabolic process (GO:0030388)",3.929885257101012,50.47058823529412
128,positive regulation of fear response (GO:1903367),3.929885257101012,50.47058823529412
129,ribose phosphate metabolic process (GO:0019693),3.9086491297737065,3.8453781512605043
130,mitotic DNA integrity checkpoint signaling (GO:0044774),3.885750102217411,9.073364177131527
131,cardiac muscle cell differentiation (GO:0055007),3.864842048008756,8.972549019607843
132,acyl-CoA metabolic process (GO:0006637),3.8441834419459147,8.873949579831933
133,thioester metabolic process (GO:0035383),3.8441834419459147,8.873949579831933
134,purine-containing compound biosynthetic process (GO:0072522),3.835233111806301,5.047058823529411
135,response to wounding (GO:0009611),3.832124618421086,3.7559507523939812
136,Notch receptor processing (GO:0007220),3.8133139076222355,44.86274509803921
137,mesonephric tubule formation (GO:0072172),3.8133139076222355,44.86274509803921
138,G protein-coupled opioid receptor signaling pathway (GO:0038003),3.8133139076222355,44.86274509803921
139,serotonin uptake (GO:0051610),3.8133139076222355,44.86274509803921
140,extracellular vesicle biogenesis (GO:0140112),3.8133139076222355,44.86274509803921
141,negative regulation of muscle organ development (GO:0048635),3.8133139076222355,44.86274509803921
142,response to cGMP (GO:0070305),3.8133139076222355,44.86274509803921
143,heparan sulfate proteoglycan catabolic process (GO:0030200),3.8133139076222355,44.86274509803921
144,regulation of cerebellar granule cell precursor proliferation (GO:0021936),3.8133139076222355,44.86274509803921
145,vascular wound healing (GO:0061042),3.8133139076222355,44.86274509803921
146,liver morphogenesis (GO:0072576),3.8133139076222355,44.86274509803921
147,regulation of signaling (GO:0023051),3.8056269329643286,1.7636780979135973
148,regulation of animal organ morphogenesis (GO:2000027),3.8035927972422945,8.683111954459203
149,regulation of cell communication (GO:0010646),3.7978523571022214,1.7606019151846786
150,regulation of biological quality (GO:0065008),3.7432694363433323,1.8423801953213719
151,metanephric renal vesicle morphogenesis (GO:0072283),3.709164624426628,40.37647058823529
152,polyamine transmembrane transport (GO:1902047),3.709164624426628,40.37647058823529
153,cellular response to manganese ion (GO:0071287),3.709164624426628,40.37647058823529
154,protein K11-linked deubiquitination (GO:0035871),3.709164624426628,40.37647058823529
155,autophagosome-lysosome fusion (GO:0061909),3.709164624426628,40.37647058823529
156,sequestering of extracellular ligand from receptor (GO:0035581),3.709164624426628,40.37647058823529
157,intracellular chloride ion homeostasis (GO:0030644),3.709164624426628,40.37647058823529
158,ventricular cardiac muscle cell development (GO:0055015),3.709164624426628,40.37647058823529
159,intracellular monoatomic anion homeostasis (GO:0030002),3.709164624426628,40.37647058823529
160,animal organ development (GO:0048513),3.709075423219886,1.8295368339040041
161,vesicle fusion (GO:0006906),3.6686311499118918,8.07529411764706
162,organelle membrane fusion (GO:0090174),3.631951213141707,7.916955017301039
163,cardiac muscle cell myoblast differentiation (GO:0060379),3.615065223193921,36.705882352941174
164,regulation of behavioral fear response (GO:2000822),3.615065223193921,36.705882352941174
165,cytolysis by host of symbiont cells (GO:0051838),3.615065223193921,36.705882352941174
166,vesicle fusion with vacuole (GO:0051469),3.615065223193921,36.705882352941174
167,regulation of lysosomal protein catabolic process (GO:1905165),3.615065223193921,36.705882352941174
168,multivesicular body-lysosome fusion (GO:0061763),3.615065223193921,36.705882352941174
169,proteoglycan catabolic process (GO:0030167),3.615065223193921,36.705882352941174
170,endothelial cell apoptotic process (GO:0072577),3.615065223193921,36.705882352941174
171,regulation of G2/M transition of mitotic cell cycle (GO:0010389),3.6139040115632466,7.840091376356368
172,unsaturated fatty acid metabolic process (GO:0033559),3.578376285140301,7.690756302521009
173,purine nucleotide metabolic process (GO:0006163),3.5739079469094306,3.465791466801312
174,sphingolipid biosynthetic process (GO:0030148),3.5435802352592076,7.547003848268279
175,nucleotide biosynthetic process (GO:0009165),3.541310593804719,4.502952110212115
176,ammonium transmembrane transport (GO:0072488),3.529264171010945,33.64705882352941
177,negative regulation of osteoblast proliferation (GO:0033689),3.529264171010945,33.64705882352941
178,insemination (GO:0007320),3.529264171010945,33.64705882352941
179,serotonin transport (GO:0006837),3.529264171010945,33.64705882352941
180,renal vesicle morphogenesis (GO:0072077),3.529264171010945,33.64705882352941
181,positive regulation of hair follicle development (GO:0051798),3.529264171010945,33.64705882352941
182,enteric nervous system development (GO:0048484),3.529264171010945,33.64705882352941
183,extracellular negative regulation of signal transduction (GO:1900116),3.529264171010945,33.64705882352941
184,extracellular regulation of signal transduction (GO:1900115),3.529264171010945,33.64705882352941
185,polyamine transport (GO:0015846),3.529264171010945,33.64705882352941
186,vacuole fusion (GO:0097576),3.529264171010945,33.64705882352941
187,regulation of fear response (GO:1903365),3.529264171010945,33.64705882352941
188,nucleoside phosphate biosynthetic process (GO:1901293),3.5224245181757836,4.46971999131756
189,chloride transmembrane transport (GO:1902476),3.5094885907095565,7.408526713437669
190,long-chain fatty acid metabolic process (GO:0001676),3.492698809919657,7.341176470588234
191,negative regulation of cell cycle process (GO:0010948),3.4851417926477044,4.404705882352941
192,modulation of chemical synaptic transmission (GO:0050804),3.4670537745710233,3.3507444471564556
193,regulation of trans-synaptic signaling (GO:0099177),3.4605248953616017,3.3438070880526123
194,regulation of receptor-mediated endocytosis (GO:0048259),3.4596158795596303,7.2100840336134455
195,negative regulation of protein catabolic process (GO:0042177),3.4596158795596303,7.2100840336134455
196,hypotonic response (GO:0006971),3.450431334212361,31.058823529411757
197,positive regulation of osteoblast proliferation (GO:0033690),3.450431334212361,31.058823529411757
198,renal vesicle development (GO:0072087),3.450431334212361,31.058823529411757
199,cellular response to vitamin D (GO:0071305),3.450431334212361,31.058823529411757
200,regulation of protein catabolic process in the vacuole (GO:1904350),3.450431334212361,31.058823529411757
201,centriole-centriole cohesion (GO:0010457),3.450431334212361,31.058823529411757
202,regulation of canonical NF-kappaB signal transduction (GO:0043122),3.4484958091269746,4.341555977229602
203,ubiquitin-dependent protein catabolic process (GO:0006511),3.4475185056323365,3.330018192844148
204,protein catabolic process (GO:0030163),3.444741220341439,2.8117319351138788
205,DNA damage checkpoint signaling (GO:0000077),3.443316798358827,7.1462779802186365
206,response to nutrient levels (GO:0031667),3.4410408524800022,3.3231663035584607
207,muscle cell differentiation (GO:0042692),3.4124682889836464,4.280191228434837
208,regulation of cell cycle G2/M phase transition (GO:1902749),3.3953551317361446,6.9614604462474645
209,response to estradiol (GO:0032355),3.3953551317361446,6.9614604462474645
210,cardioblast differentiation (GO:0010002),3.3775327790055987,28.840336134453782
211,positive regulation of protein acetylation (GO:1901985),3.3775327790055987,28.840336134453782
212,polyamine biosynthetic process (GO:0006596),3.3775327790055987,28.840336134453782
213,neural crest formation (GO:0014029),3.3775327790055987,28.840336134453782
214,fructose metabolic process (GO:0006000),3.3775327790055987,28.840336134453782
215,viral budding from plasma membrane (GO:0046761),3.3775327790055987,28.840336134453782
216,lysosomal membrane organization (GO:0097212),3.3775327790055987,28.840336134453782
217,modification-dependent protein catabolic process (GO:0019941),3.377184214218638,3.256166982922201
218,purine-containing compound metabolic process (GO:0072521),3.3646100435927475,3.243090007087172
219,anatomical structure development (GO:0048856),3.36381419224102,1.5437381222800723
220,chloride transport (GO:0006821),3.3487408249601276,6.785961443400891
221,fatty acid biosynthetic process (GO:0006633),3.3487408249601276,6.785961443400891
222,positive regulation of transcription by RNA polymerase II (GO:0045944),3.3424465052902708,2.234271099744246
223,animal organ morphogenesis (GO:0009887),3.3345717338277563,2.432317505315379
