,go_term,negative_log_p_value,fold_enrichment
0,cellular response to prostaglandin E stimulus (GO:0071380),11.31220278367374,15.628415300546447
1,positive regulation of chondrocyte differentiation (GO:0032332),10.748423845849434,14.065573770491802
2,cellular response to prostaglandin stimulus (GO:0071379),10.01742105938017,12.230933713471133
3,cellular process (GO:0009987),9.820548480953386,1.1253964563492238
4,biological_process (GO:0008150),9.798641312183408,1.0775311779247863
5,response to prostaglandin E (GO:0034695),9.390916941303475,10.81967213114754
6,positive regulation of cartilage development (GO:0061036),8.3595511575377,8.790983606557377
7,response to alcohol (GO:0097305),8.265645173051722,3.0179008856227627
8,regulation of developmental process (GO:0050793),8.079199240777953,1.5398585663773705
9,response to prostaglandin (GO:0034694),8.065298089466728,8.273866923818709
10,regulation of chondrocyte differentiation (GO:0032330),7.9765277240045345,6.369316424373647
11,developmental process (GO:0032502),7.822349603898405,1.3038656988851087
12,positive regulation of stem cell differentiation (GO:2000738),7.678974711075168,10.716627634660423
13,regulation of multicellular organismal process (GO:0051239),7.563466003938623,1.460619258702453
14,cellular response to alcohol (GO:0097306),7.524800572877204,4.327868852459016
15,sphingolipid catabolic process (GO:0030149),7.176273003070011,6.8612554978008795
16,positive regulation of protein processing (GO:0010954),7.146986492906723,9.37704918032787
17,positive regulation of cytosolic calcium ion concentration (GO:0007204),7.134798137625009,3.389294884455856
18,B cell costimulation (GO:0031296),6.975979978176024,37.50819672131148
19,positive regulation of protein maturation (GO:1903319),6.833576398483071,8.655737704918032
20,muscle structure development (GO:0061061),6.8079475858945155,2.1764911056853853
21,aminoglycan metabolic process (GO:0006022),6.805496488067994,3.880158281514981
22,regulation of biological process (GO:0050789),6.7821520359509435,1.1471326159861939
23,positive regulation of protein metabolic process (GO:0051247),6.747672172709446,1.720005802988539
24,detection of chemical stimulus (GO:0009593),6.663730054254023,0.1069625381786449
25,muscle tissue development (GO:0060537),6.609093974650586,2.453297750667175
26,membrane lipid catabolic process (GO:0046466),6.546874414408406,5.98535054063481
27,regulation of alcohol biosynthetic process (GO:1902930),6.546874414408406,5.98535054063481
28,regulation of ossification (GO:0030278),6.4812099956095395,3.68933082504703
29,anatomical structure development (GO:0048856),6.4477925235477,1.2906662989554705
30,negative regulation of alcohol biosynthetic process (GO:1902931),6.346777696348135,12.056206088992974
31,regulation of cartilage development (GO:0061035),6.340838751103651,4.688524590163934
32,tissue development (GO:0009888),6.320571937573205,1.5584242278215905
33,spermatid nucleus elongation (GO:0007290),6.294671108130798,28.13114754098361
34,protein localization to lipid droplet (GO:1990044),6.294671108130798,28.13114754098361
35,positive regulation of amyloid precursor protein biosynthetic process (GO:0042986),6.294671108130798,28.13114754098361
36,regulation of steroid hormone biosynthetic process (GO:0090030),6.1368173820435175,11.252459016393443
37,regulation of platelet activation (GO:0010543),6.007201600291703,5.3077636869780385
38,mitochondrion organization (GO:0007005),5.911280351145871,2.1787221330146758
39,detection of chemical stimulus involved in sensory perception (GO:0050907),5.91062892310428,0.11458715902640981
40,glycosaminoglycan metabolic process (GO:0030203),5.908840125358159,3.7508196721311475
41,detection of stimulus (GO:0051606),5.814762387258263,0.24497370862975565
42,aminoglycan catabolic process (GO:0006026),5.813153082686825,6.619093539054966
43,cardiac muscle tissue growth (GO:0055017),5.813153082686825,6.619093539054966
44,GDP-mannose biosynthetic process (GO:0009298),5.795666403087947,22.504918032786886
45,epoxide metabolic process (GO:0097176),5.795666403087947,22.504918032786886
46,cell differentiation (GO:0030154),5.617996016305582,1.3395784543325526
47,cellular developmental process (GO:0048869),5.61458179412643,1.3384795384553314
48,heart growth (GO:0060419),5.601834397876566,6.251366120218579
49,negative regulation of platelet activation (GO:0010544),5.592178807918491,9.377049180327868
50,glycosphingolipid catabolic process (GO:0046479),5.592178807918491,9.377049180327868
51,regulation of phosphate metabolic process (GO:0019220),5.581164745511137,1.6634069850320743
52,regulation of phosphorus metabolic process (GO:0051174),5.575300367624469,1.6619618008574157
53,mucopolysaccharide metabolic process (GO:1903510),5.503389021589667,3.9714561234329797
54,regulation of lipid biosynthetic process (GO:0046890),5.476461222222594,2.893489461358314
55,nucleosome disassembly (GO:0006337),5.433464096376328,8.883520276100086
56,neuromuscular process controlling posture (GO:0050884),5.433464096376328,8.883520276100086
57,cellular component organization (GO:0016043),5.416932139397856,1.2478330172544183
58,positive regulation of vitamin D receptor signaling pathway (GO:0070564),5.402004777336407,18.75409836065574
59,hemidesmosome assembly (GO:0031581),5.402004777336407,18.75409836065574
60,regulation of sprouting angiogenesis (GO:1903670),5.309656704962703,5.770491803278688
61,regulation of cellular process (GO:0050794),5.298062528691892,1.1336094200270999
62,RNA modification (GO:0009451),5.293600096766814,2.8131147540983603
63,detection of stimulus involved in sensory perception (GO:0050906),5.258711753108171,0.19880669640271098
64,cardiac muscle cell differentiation (GO:0055007),5.223770205488242,3.750819672131147
65,detection of chemical stimulus involved in sensory perception of smell (GO:0050911),5.189009632065469,0.1270029234355919
66,tRNA modification (GO:0006400),5.170258820319631,3.7096018735363
67,glycolipid catabolic process (GO:0019377),5.143029488872343,8.037470725995316
68,protein-DNA complex disassembly (GO:0032986),5.143029488872343,8.037470725995316
69,glycosaminoglycan biosynthetic process (GO:0006024),5.1226500403468345,4.327868852459017
70,intramembranous ossification (GO:0001957),5.0773185426411676,16.074941451990632
71,response to nematode (GO:0009624),5.0773185426411676,16.074941451990632
72,methylglyoxal metabolic process (GO:0009438),5.0773185426411676,16.074941451990632
73,direct ossification (GO:0036072),5.0773185426411676,16.074941451990632
74,physiological cardiac muscle hypertrophy (GO:0003301),5.0773185426411676,16.074941451990632
75,physiological muscle hypertrophy (GO:0003298),5.0773185426411676,16.074941451990632
76,cell growth involved in cardiac muscle cell development (GO:0061049),5.0773185426411676,16.074941451990632
