,go_term,negative_log_p_value,fold_enrichment
0,negative regulation of cellular process (GO:0048523),18.884351408440406,1.4650623683228134
1,negative regulation of biological process (GO:0048519),18.4151238438859,1.422610325373642
2,regulation of cell population proliferation (GO:0042127),16.25537278855572,1.831365342745726
3,regulation of multicellular organismal process (GO:0051239),15.506396001571467,1.5961938163359484
4,regulation of biological process (GO:0050789),15.488907006407201,1.1862358552951222
5,positive regulation of nucleobase-containing compound metabolic process (GO:0045935),14.7868553973517,1.6927873397364746
6,anterior/posterior pattern specification (GO:0009952),13.684721196608939,3.515717412564616
7,regulation of multicellular organismal development (GO:2000026),13.553946030775185,1.8388590975992012
8,positive regulation of RNA metabolic process (GO:0051254),13.43616187487449,1.6966345836904213
9,cell population proliferation (GO:0008283),13.393667858910042,2.2319330345149386
10,regionalization (GO:0003002),13.116861907667344,2.852198177338439
11,animal organ morphogenesis (GO:0009887),13.091548550826484,1.9798017116164197
12,anatomical structure morphogenesis (GO:0009653),12.815290859779147,1.6040541061837261
13,regulation of cell death (GO:0010941),12.778493074244736,1.7271343428329415
14,positive regulation of nucleic acid-templated transcription (GO:1903508),12.76140234713392,1.7063296384543665
15,positive regulation of DNA-templated transcription (GO:0045893),12.76140234713392,1.7063296384543665
16,positive regulation of RNA biosynthetic process (GO:1902680),12.702564937059021,1.7003807843981629
17,positive regulation of biological process (GO:0048518),12.038866995386408,1.2931455976706434
18,positive regulation of cellular biosynthetic process (GO:0031328),12.03871983202169,1.6160002577728425
19,positive regulation of macromolecule biosynthetic process (GO:0010557),11.873683150114477,1.6316100227028694
20,regulation of cellular process (GO:0050794),11.862428391782325,1.1709058601830715
21,positive regulation of biosynthetic process (GO:0009891),11.858098513768883,1.602494533478945
22,skeletal system morphogenesis (GO:0048705),11.815026160112604,3.208722949505744
23,skeletal system development (GO:0001501),11.70949927127742,2.3676013996353062
24,positive regulation of transcription by RNA polymerase II (GO:0045944),11.614114978760826,1.7986033553339813
25,response to stress (GO:0006950),11.428675606802065,1.427274671134531
