,chr,start,end,width,strand,gene_id,gene_name,gene_biotype,seq_coord_system,description,gene_id_version,canonical_transcript,symbol,entrezid,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_nas,gene_weight,gene_weight_abs
ENSG00000199914,14,100973595,100973664,70,+,ENSG00000199914,SNORD114-16,snoRNA,chromosome,"small nucleolar RNA, C/D box 114-16 [Source:HGNC Symbol;Acc:HGNC:33004]",ENSG00000199914.1,ENST00000363044,SNORD114-16,767594,1813,0.23918656613047315,0.21445516930197434,0.055126791620729865,433.8844309606783,6.075080319838112,0,-1.681607989757657,1.681607989757657
ENSG00000289109,7,23474647,23475372,726,+,ENSG00000289109,,lncRNA,chromosome,novel transcript,ENSG00000289109.1,ENST00000691216,,,1813,1.0312443258260477,0.7086485736525248,0.055126791620729865,1870.6772070484506,7.53459021003717,0,1.5979230101912445,1.5979230101912445
ENSG00000199088,14,101022066,101022132,67,+,ENSG00000199088,MIR379,miRNA,chromosome,microRNA 379 [Source:HGNC Symbol;Acc:HGNC:31872],ENSG00000199088.5,ENST00000362218,MIR379,494328,1813,0.30666515122101284,0.26747820535375183,0.055126791620729865,556.2905843149173,6.323086799250489,0,1.4456739405904115,1.4456739405904115
ENSG00000275379,6,27871845,27872346,502,-,ENSG00000275379,H3C11,protein_coding,chromosome,H3 clustered histone 11 [Source:HGNC Symbol;Acc:HGNC:4771],ENSG00000275379.2,ENST00000616365,H3C11,8354,1811,1.8809299853761001,1.0581131536120518,0.1653803748621785,3412.0069934722455,8.135348997973534,0,1.4135564082100343,1.4135564082100343
ENSG00000200681,6,18306973,18307079,107,-,ENSG00000200681,RNU6-263P,snRNA,chromosome,"RNA, U6 small nuclear 263, pseudogene [Source:HGNC Symbol;Acc:HGNC:47226]",ENSG00000200681.1,ENST00000363811,RNU6-263P,,1813,0.28029366287974544,0.247089475742637,0.055126791620729865,508.45270446385825,6.23333702100147,0,1.3523095300111714,1.3523095300111714
ENSG00000239224,14,102582888,102583177,290,-,ENSG00000239224,RN7SL546P,misc_RNA,chromosome,"RNA, 7SL, cytoplasmic 546, pseudogene [Source:HGNC Symbol;Acc:HGNC:46562]",ENSG00000239224.3,ENST00000479428,RN7SL546P,,1813,0.2984941766533208,0.2612052674385428,0.055126791620729865,541.4684364491239,6.296129902061395,0,1.2751073077154493,1.2751073077154493
ENSG00000283699,10,12653138,12653197,60,-,ENSG00000283699,MIR4481,miRNA,chromosome,microRNA 4481 [Source:HGNC Symbol;Acc:HGNC:41781],ENSG00000283699.1,ENST00000637781,MIR4481,100616320,1813,0.3035250229729403,0.26507215096431036,0.055126791620729865,550.5943916729137,6.312812978486954,0,-1.2689405969012573,1.2689405969012573
ENSG00000211828,14,22459098,22459156,59,+,ENSG00000211828,TRDJ3,TR_J_gene,chromosome,T cell receptor delta joining 3 [Source:HGNC Symbol;Acc:HGNC:12259],ENSG00000211828.1,ENST00000390476,TRDJ3,,1813,0.29037168583252476,0.2549303054248658,0.055126791620729865,526.7342381002,6.268592820058267,0,-1.2464579370641322,1.2464579370641322
ENSG00000231251,1,30226523,30226615,93,+,ENSG00000231251,,processed_pseudogene,chromosome,"family with sequence similarity 32, member A (FAM32A) pseudogene",ENSG00000231251.1,ENST00000442774,,,1814,0.27250532952981604,0.24098765766938196,0.0,494.3246677670863,6.2052134420428775,0,1.2087369527224763,1.2087369527224763
ENSG00000212571,20,32050588,32050705,118,+,ENSG00000212571,RNA5SP482,rRNA_pseudogene,chromosome,"RNA, 5S ribosomal pseudogene 482 [Source:HGNC Symbol;Acc:HGNC:43382]",ENSG00000212571.1,ENST00000391269,RNA5SP482,,1812,0.4521331026862613,0.3730335807180115,0.11025358324145973,820.169448272878,6.71072948069342,0,-1.2003494803380446,1.2003494803380446
ENSG00000207705,7,128207872,128207943,72,+,ENSG00000207705,MIR129-1,miRNA,chromosome,microRNA 129-1 [Source:HGNC Symbol;Acc:HGNC:31512],ENSG00000207705.2,ENST00000384972,MIR129-1,406917,1813,0.2898016839182126,0.2544884731586564,0.055126791620729865,525.7002546276376,6.266631609928828,0,1.1756457954708686,1.1756457954708686
ENSG00000278860,17,34614409,34614809,401,+,ENSG00000278860,,TEC,chromosome,TEC,ENSG00000278860.1,ENST00000624723,,,1813,0.3180660287458435,0.2761655325082025,0.055126791620729865,576.9717761449601,6.359525037281114,0,1.174768247380987,1.174768247380987
ENSG00000202317,11,66393449,66393612,164,+,ENSG00000202317,RNU1-84P,snRNA,chromosome,"RNA, U1 small nuclear 84, pseudogene [Source:HGNC Symbol;Acc:HGNC:48426]",ENSG00000202317.1,ENST00000365447,RNU1-84P,,1813,0.34663091438827315,0.2976058542309461,0.055126791620729865,628.7884787003275,6.44538401491485,0,-1.1723634706835315,1.1723634706835315
ENSG00000160472,19,55376826,55378246,1421,+,ENSG00000160472,TMEM190,protein_coding,chromosome,transmembrane protein 190 [Source:HGNC Symbol;Acc:HGNC:29632],ENSG00000160472.5,ENST00000291934,TMEM190,147744,1813,0.5229206593423256,0.42062997757397597,0.055126791620729865,948.5780760469785,6.85601775546257,0,-1.1402406729951846,1.1402406729951846
ENSG00000273570,12,97495932,97496057,126,+,ENSG00000273570,,misc_RNA,chromosome,,ENSG00000273570.1,ENST00000618704,,,1813,0.2977111902901953,0.26060208989578443,0.055126791620729865,540.0480991864143,6.293508182817538,0,-1.139599965511274,1.139599965511274
ENSG00000237042,6,29812565,29812696,132,-,ENSG00000237042,MICG,unprocessed_pseudogene,chromosome,MHC class I polypeptide-related sequence G (pseudogene) [Source:HGNC Symbol;Acc:HGNC:16802],ENSG00000237042.1,ENST00000416822,MICG,,1813,0.23242541054567248,0.20898410627632943,0.055126791620729865,421.61969472984987,6.0464727078107785,0,-1.1290608937149675,1.1290608937149675
ENSG00000267271,17,35344231,35344564,334,+,ENSG00000267271,,processed_pseudogene,chromosome,ring finger protein 7 (RNF7) pseudogene,ENSG00000267271.1,ENST00000588235,,,1813,0.5048373412829975,0.40868481347816665,0.055126791620729865,915.7749370873576,6.820862008203902,0,-1.1136767545974293,1.1136767545974293
ENSG00000272163,8,24912165,24914717,2553,-,ENSG00000272163,,lncRNA,chromosome,"novel transcript, antisense to NEFM",ENSG00000272163.1,ENST00000607058,,,1813,1.2517184269740917,0.8116936700331033,0.055126791620729865,2270.6172265310024,7.728247291409549,0,-1.1015619712699305,1.1015619712699305
ENSG00000207805,11,2134134,2134209,76,-,ENSG00000207805,MIR483,miRNA,chromosome,microRNA 483 [Source:HGNC Symbol;Acc:HGNC:32340],ENSG00000207805.3,ENST00000385070,MIR483,619552,1813,0.5105941432807118,0.4125030458082117,0.055126791620729865,926.2177759112113,6.832188463445751,0,1.1006377213177603,1.1006377213177603
ENSG00000253587,14,106344385,106344833,449,-,ENSG00000253587,IGHV3-30-2,IG_V_pseudogene,chromosome,immunoglobulin heavy variable 3-30-2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5592],ENSG00000253587.2,ENST00000517460,IGHV3-30-2,,1813,0.2365060076145723,0.21228966653168174,0.055126791620729865,429.02189781283414,6.063836132537093,0,1.0908065117258106,1.0908065117258106
ENSG00000211779,14,21749178,21749705,528,+,ENSG00000211779,TRAV5,TR_V_gene,chromosome,T cell receptor alpha variable 5 [Source:HGNC Symbol;Acc:HGNC:12143],ENSG00000211779.3,ENST00000390427,TRAV5,,1813,0.407384135277158,0.34173275812437776,0.055126791620729865,738.9948213927646,6.606643188055843,0,-1.078972270877028,1.078972270877028
