,chr,start,end,width,strand,gene_id,gene_name,gene_biotype,seq_coord_system,description,gene_id_version,canonical_transcript,symbol,entrezid,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_nas,gene_weight,gene_weight_abs
ENSG00000250238,4,105959,107114,1156,-,ENSG00000250238,,processed_pseudogene,chromosome,pseudogene similar to part of WEE1 homolog (WEE1),ENSG00000250238.1,ENST00000511645,,,1813,0.6242026708828159,0.4850170312945812,0.055126791620729865,1132.303644981428,7.03289222598841,0,-1.5788615221427547,1.5788615221427547
ENSG00000265180,3,5250177,5250255,79,-,ENSG00000265180,MIR4790,miRNA,chromosome,microRNA 4790 [Source:HGNC Symbol;Acc:HGNC:41820],ENSG00000265180.1,ENST00000577799,MIR4790,100616334,1813,0.26387556725002925,0.2341828472474674,0.055126791620729865,478.67027899155306,6.173098949097544,0,1.3881804419598665,1.3881804419598665
ENSG00000199914,14,100973595,100973664,70,+,ENSG00000199914,SNORD114-16,snoRNA,chromosome,"small nucleolar RNA, C/D box 114-16 [Source:HGNC Symbol;Acc:HGNC:33004]",ENSG00000199914.1,ENST00000363044,SNORD114-16,767594,1813,0.23918656613047315,0.21445516930197434,0.055126791620729865,433.8844309606783,6.075080319838112,0,-1.3584484772611458,1.3584484772611458
ENSG00000221442,7,147378017,147378121,105,-,ENSG00000221442,MIR548F4,miRNA,chromosome,microRNA 548f-4 [Source:HGNC Symbol;Acc:HGNC:35308],ENSG00000221442.1,ENST00000408515,MIR548F4,100313895,1811,0.21496208901749328,0.19471287385096703,0.1653803748621785,389.9412294777328,5.968557240446858,0,1.3479135991274334,1.3479135991274334
ENSG00000254289,14,106331106,106331563,458,-,ENSG00000254289,IGHV3-32,IG_V_pseudogene,chromosome,immunoglobulin heavy variable 3-32 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5595],ENSG00000254289.2,ENST00000519182,IGHV3-32,,1813,0.281450438429041,0.2479925914186551,0.055126791620729865,510.5510953102804,6.237447473482427,0,1.345278016137287,1.345278016137287
ENSG00000274493,6,127909833,127910052,220,+,ENSG00000274493,MRPS17P5,processed_pseudogene,chromosome,mitochondrial ribosomal protein S17 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:29737],ENSG00000274493.1,ENST00000622571,MRPS17P5,,1813,0.2510879843008624,0.2240135601874022,0.055126791620729865,455.47360352176435,6.123530874752581,0,1.2584228688082255,1.2584228688082255
ENSG00000188512,8,33969567,33969879,313,-,ENSG00000188512,,processed_pseudogene,chromosome,"cytochrome c, somatic (CYCS) pseudogene",ENSG00000188512.6,ENST00000523393,,,1813,0.24874229981309534,0.22213688464577486,0.055126791620729865,451.21853186095495,6.114165540563094,0,-1.2357867463774062,1.2357867463774062
ENSG00000284621,22,21661859,21661929,71,-,ENSG00000284621,,unitary_pseudogene,chromosome,novel pseudogene,ENSG00000284621.1,ENST00000641337,,,1812,0.19438328114052586,0.1776299694393539,0.11025358324145973,352.6112719889139,5.868198208052105,0,1.2239219562272836,1.2239219562272836
ENSG00000167825,11,55935456,55936400,945,-,ENSG00000167825,OR5I1,protein_coding,chromosome,olfactory receptor family 5 subfamily I member 1 [Source:HGNC Symbol;Acc:HGNC:8347],ENSG00000167825.3,ENST00000301532,OR5I1,10798,1813,0.2889720630740739,0.25384505038942146,0.055126791620729865,524.1953224163701,6.263770236098748,0,-1.17871366289522,1.17871366289522
ENSG00000251439,17,41186944,41187136,193,-,ENSG00000251439,KRTAP4-17P,unprocessed_pseudogene,chromosome,"keratin associated protein 4-17, pseudogene [Source:HGNC Symbol;Acc:HGNC:53814]",ENSG00000251439.1,ENST00000508151,KRTAP4-17P,,1813,0.39617694437978657,0.3337377472963387,0.055126791620729865,718.6649771049329,6.578785794143524,0,1.1730514606315998,1.1730514606315998
