,chr,start,end,width,strand,gene_id,gene_name,gene_biotype,seq_coord_system,description,gene_id_version,canonical_transcript,symbol,entrezid,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_nas,gene_weight,gene_weight_abs
ENSG00000275538,1,120850819,120850985,167,-,ENSG00000275538,RNVU1-19,snRNA,chromosome,"RNA, variant U1 small nuclear 19 [Source:HGNC Symbol;Acc:HGNC:48324]",ENSG00000275538.1,ENST00000613023,RNVU1-19,101954277,1813,1.0015774403183497,0.6939355898428277,0.055126791620729865,1816.8614767374866,7.505416076420483,0,-1.2119201934233177,1.2119201934233177
ENSG00000227910,7,63924787,63926306,1520,-,ENSG00000227910,,transcribed_processed_pseudogene,chromosome,TP53 target 3 (TP53TG3) pseudogene,ENSG00000227910.1,ENST00000451395,,,1813,1.6054941289253952,0.9576223420256548,0.055126791620729865,2912.366349870667,7.977064512824806,0,0.9326551573308202,0.9326551573308202
ENSG00000207507,19,893484,893590,107,+,ENSG00000207507,RNU6-9,snRNA,chromosome,"RNA, U6 small nuclear 9 [Source:HGNC Symbol;Acc:HGNC:34269]",ENSG00000207507.1,ENST00000384776,RNU6-9,101954271,1812,1.2542075925390928,0.8127985109947287,0.11025358324145973,2275.1325728659144,7.73023304173348,0,0.8950888290765241,0.8950888290765241
ENSG00000252167,9,81885496,81885598,103,+,ENSG00000252167,RNA5SP287,rRNA_pseudogene,chromosome,"RNA, 5S ribosomal pseudogene 287 [Source:HGNC Symbol;Acc:HGNC:43187]",ENSG00000252167.1,ENST00000516358,RNA5SP287,,1813,0.3306827068417027,0.28569212394821264,0.055126791620729865,599.8584302108487,6.398359349733791,0,-0.8150867245637783,0.8150867245637783
ENSG00000289402,1,20486358,20487374,1017,-,ENSG00000289402,,lncRNA,chromosome,novel transcript,ENSG00000289402.1,ENST00000690199,,,1814,1.9373405078227524,1.0775045827869634,0.0,3514.3356811904728,8.164890299312413,0,0.7492801435802421,0.7492801435802421
ENSG00000270405,7,152366763,152367015,253,+,ENSG00000270405,,processed_pseudogene,chromosome,"nuclear protein, transcriptional regulator, 1-like, pseudogene",ENSG00000270405.1,ENST00000603054,,,1813,0.6496234758035032,0.5005470653889849,0.055126791620729865,1178.4169851075549,7.072775514944436,0,-0.7323825200260573,0.7323825200260573
ENSG00000267353,19,36773712,36775908,2197,-,ENSG00000267353,,lncRNA,chromosome,novel transcript,ENSG00000267353.1,ENST00000588717,,,1813,0.6372040693980114,0.49298995121695255,0.055126791620729865,1155.8881818879927,7.053489077655493,0,-0.7318728948397054,0.7318728948397054
ENSG00000266446,9,21995482,21996013,532,+,ENSG00000266446,,lncRNA,chromosome,"novel transcript, sense intronic CDKN2B-AS1",ENSG00000266446.1,ENST00000578935,,,1813,1.769527015707673,1.018676553167284,0.055126791620729865,3209.922006493719,8.074313404318879,0,0.7112964565141356,0.7112964565141356
ENSG00000274833,17,81387415,81387766,352,+,ENSG00000274833,,lncRNA,chromosome,novel transcript,ENSG00000274833.1,ENST00000611501,,,1812,2.0261361616084765,1.1072866115806788,0.11025358324145973,3675.4109971577764,8.209692282763829,0,0.7022527140246203,0.7022527140246203
ENSG00000277459,11,102109827,102110457,631,-,ENSG00000277459,,lncRNA,chromosome,novel transcript,ENSG00000277459.1,ENST00000614441,,,1813,2.0141339800771907,1.1033125517966722,0.055126791620729865,3653.6390398600242,8.203752609402763,0,-0.6554756738366982,0.6554756738366982
