"chr","start","end","width"
"1","        1","    11868","    11868"
"1","    14410","    29553","    15144"
"1","    31110","    52472","    21363"
"1","    53313","    57597","     4285"
"1","    64117","    65418","     1302"
"1","    71586","   131024","    59439"
"1","   134837","   160445","    25609"
"1","   161526","   182695","    21170"
"1","   184175","   266854","    82680"
"1","   268656","   358856","    90201"
"1","   366053","   439869","    73817"
"1","   440233","   487100","    46868"
"1","   489907","   587628","    97722"
"1","   594769","   629061","    34293"
"1","   629434","   629639","      206"
"1","   630684","   631073","      390"
"1","   632617","   632756","      140"
"1","   633439","   633534","       96"
"1","   634923","   674841","    39919"
"1","   675266","   722091","    46826"
"1","   724904","   760910","    36007"
"1","   761990","   778746","    16757"
"1","   810066","   817370","     7305"
"1","   819838","   825137","     5300"
"1","   859447","   860225","      779"
"1","   868203","   873291","     5089"
"1","   874350","   904833","    30484"
"1","   915977","   923922","     7946"
"1","   944576","   960583","    16008"
"1","   965720","   966481","      762"
"1","   975866","  1001137","    25272"
"1","  1014541","  1020119","     5579"
"1","  1056119","  1059686","     3568"
"1","  1069356","  1097584","    28229"
"1","  1104599","  1137016","    32418"
"1","  1144057","  1167103","    23047"
"1","  1167199","  1167862","      664"
"1","  1167953","  1169004","     1052"
"1","  1169088","  1169356","      269"
"1","  1170344","  1173879","     3536"
"1","  1197937","  1232236","    34300"
"1","  1235042","  1275222","    40181"
"1","  1280421","  1280435","       15"
"1","  1292030","  1308596","    16567"
"1","  1311678","  1324755","    13078"
"1","  1328897","  1331279","     2383"
"1","  1335315","  1378665","    43351"
"1","  1379033","  1399514","    20482"
"1","  1402047","  1409095","     7049"
"1","  1410619","  1420244","     9626"
"1","  1422692","  1425870","     3179"
"1","  1430256","  1434860","     4605"
"1","  1442883","  1449688","     6806"
"1","  1470164","  1471764","     1601"
"1","  1497849","  1503249","     5401"
"1","  1509467","  1512161","     2695"
"1","  1534686","  1574101","    39416"
"1","  1577076","  1600313","    23238"
"1","  1602704","  1615453","    12750"
"1","  1630606","  1632162","     1557"
"1","  1635264","  1659324","    24061"
"1","  1662603","  1671989","     9387"
"1","  1674398","  1699941","    25544"
"1","  1701783","  1724511","    22729"
"1","  1737252","  1891222","   153971"
"1","  1892727","  1915107","    22381"
"1","  1917297","  2019328","   102032"
"1","  2030759","  2050410","    19652"
"1","  2185396","  2212522","    27127"
"1","  2220739","  2228318","     7580"
"1","  2310214","  2315039","     4826"
"1","  2323086","  2391774","    68689"
"1","  2405443","  2425979","    20537"
"1","  2505533","  2530063","    24531"
"1","  2547461","  2555638","     8178"
"1","  2565383","  2566409","     1027"
"1","  2569889","  2581559","    11671"
"1","  2584534","  2585611","     1078"
"1","  2586061","  2586490","      430"
"1","  2591470","  2632567","    41098"
"1","  2636621","  2768090","   131470"
"1","  2784734","  2814055","    29322"
"1","  2817768","  3021466","   203699"
"1","  3022904","  3069167","    46264"
"1","  3438622","  3454664","    16043"
"1","  3481114","  3487245","     6132"
"1","  3487628","  3625014","   137387"
"1","  3630128","  3652515","    22388"
"1","  3736202","  3736942","      741"
"1","  3737104","  3746459","     9356"
"1","  3771646","  3772748","     1103"
"1","  3775983","  3782814","     6832"
"1","  3783112","  3785007","     1896"
"1","  3785539","  3857266","    71728"
"1","  3885430","  3900351","    14922"
"1","  3917226","  3940485","    23260"
"1","  3955263","  3976132","    20870"
"1","  4012705","  4412026","   399322"
"1","  4424690","  4571480","   146791"
"1","  4594017","  4654608","    60592"
"1","  4792535","  4973380","   180846"
"1","  4981569","  5492977","   511409"
"1","  5494675","  5554746","    60072"
"1","  5554882","  5564070","     9189"
"1","  5564144","  5990926","   426783"
"1","  6101194","  6205474","   104281"
"1","  6221300","  6234691","    13392"
"1","  6239445","  6244178","     4734"
"1","  6245579","  6393554","   147976"
"1","  6394392","  6424775","    30384"
"1","  6461368","  6540853","    79486"
"1","  6540965","  6547904","     6940"
"1","  6548620","  6555306","     6687"
"1","  6579756","  6579993","      238"
"1","  6589281","  6613730","    24450"
"1","  6624031","  6624867","      837"
"1","  6635587","  6724636","    89050"
"1","  6730013","  6767953","    37941"
"1","  6770039","  6785453","    15415"
"1","  7769707","  7771295","     1589"
"1","  7781433","  7784290","     2858"
"1","  7845178","  7942371","    97194"
