,probeID,CpG_chrm,CpG_beg,CpG_end,probe_strand,gene,gene_HGNC,CTCF,distance,717HFZ,718AGZ,371WNR,318XQO,340OUL,893CAJ,151PZS,098CED,273PJW,377YFI,773VYR,928QES,786HDE,827FZN,364PIY,802QCI,021NNN,510ZEI,175NGE,670DBL,825ZCZ,912ILE,725WBV,829SZB,483NRC,717RYX,249ZBG,205OTD,765OKG,820YPQ,685BMF,545ZMG,294UQS,104ZSA,370EGY,860FWW,177TTP,151ZGD,743GHZ,990YHL,036WIO,state_modes
116,cg04672450,chr1,860184,860186,-,SAMD11,SAMD11,chr1:860342-860476,157.0,2,14,2,14,14,14,11,14,4,14,4,14,2,14,14,14,14,2,2,4,2,2,14,14,14,15,14,4,14,14,14,3,4,16,14,14,14,14,4,2,15,14
123,cg14324200,chr1,861316,861318,-,SAMD11,SAMD11,chr1:861018-861152,165.0,14,15,14,15,14,16,11,15,18,15,14,14,18,14,15,14,14,16,18,11,15,15,14,16,15,15,15,4,16,15,14,2,15,15,14,15,14,14,14,16,15,15
217,cg21832150,chr1,902024,902026,-,PLEKHN1,PLEKHN1,chr1:911529-911663,9504.0,2,14,2,1,14,2,1,14,1,3,4,4,2,14,4,14,2,1,2,3,6,14,14,2,14,3,2,3,3,1,3,1,3,14,14,3,14,14,3,2,1,14
264,cg02397514,chr1,935138,935140,+,HES4;ISG15,HES4;ISG15,chr1:933971-934105,1034.0,1,14,1,3,14,1,3,14,2,1,1,4,1,14,4,14,3,2,14,4,1,1,14,1,14,14,1,9,14,1,14,1,1,14,14,3,14,3,1,1,2,1
315,cg20022511,chr1,948739,948741,+,ISG15;RP11-54O7.11,ISG15;RP11-54O7.11,chr1:950876-951010,2136.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1
317,cg08067365,chr1,948892,948894,-,ISG15;RP11-54O7.11,ISG15;RP11-54O7.11,chr1:950876-951010,1983.0,1,14,1,1,1,1,1,3,1,1,1,3,1,3,3,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,3,3,1,1,1,3,1,2,1
516,cg09383789,chr1,1051363,1051365,-,C1orf159,C1orf159,chr1:1057585-1057719,6221.0,1,2,1,1,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,1,2,1,1,2,1,1,1,1,2,2,1,2,2,1,2,2,1
518,cg26541516,chr1,1051656,1051658,-,C1orf159,C1orf159,chr1:1057585-1057719,5928.0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
665,cg19584957,chr1,1114578,1114580,-,TTLL10;TTLL10-AS1,TTLL10;TTLL10-AS1,chr1:1142486-1142620,27907.0,17,17,17,17,13,17,17,17,6,18,16,17,18,16,16,16,16,17,18,6,17,17,5,16,17,16,17,17,17,6,16,6,16,17,16,6,16,17,17,17,17,17
709,cg14886269,chr1,1141926,1141928,-,TNFRSF18,TNFRSF18,chr1:1142486-1142620,559.0,14,15,16,14,15,11,11,15,4,4,14,4,18,15,14,15,14,10,18,4,11,14,15,15,14,15,11,11,14,4,14,2,4,15,14,15,15,15,14,14,14,14
